"id_lokalizacji","data_obserwacji","region","strefa","typ_pokrycia","szerokosc_geo","dlugosc_geo","wysokosc_m","zachmurzenie_pct","ndvi","grunt_temp_c","sat_temp_c","roznica_temp_c","jakosc_pomiaru","pomiar_dostepny"
"P015","2026-05-18","centrum","zielona","park",51.01192,17.23087,132,15,0.646,25.66,26.09,0.43,"dobra","tak"
"P016","2026-06-19","wschod","miejska","zabudowa_luzna",51.1753,17.04257,176,2.6,0.171,26.81,26.55,-0.26,"dobra","tak"
"P017","2026-05-18","zachod","zielona","pole",51.10789,16.82784,135,33,0.449,21.62,23.08,1.46,"ograniczona","tak"
"P018","2026-06-19","zachod","zielona","las",51.14209,17.12184,171,7.4,0.657,24.26,24.75,0.49,"dobra","tak"
"P019","2026-06-19","centrum","zielona","pole",51.09567,17.08237,254,68.7,0.473,26.66,28.11,1.45,"odrzucona","nie"
"P020","2026-06-19","wschod","zielona","pole",51.1567,16.84034,217,3.6,0.382,26.34,26.31,-0.03,"dobra","tak"
"P021","2026-06-19","zachod","zielona","park",50.92039,17.23794,225,25,0.703,27.32,27.65,0.32,"ograniczona","tak"
"P022","2026-06-03","wschod","zielona","park",51.04806,16.77082,158,3.8,0.655,25.27,27.56,2.3,"dobra","tak"
"P023","2026-06-19","zachod","miejska","zwarta_zabudowa",51.04628,17.14228,155,17.9,-0.023,28.98,30.26,1.28,"dobra","tak"
"P024","2026-06-19","wschod","zielona","park",50.93051,16.94263,203,40.7,0.571,25.62,26.43,0.81,"ograniczona","tak"
"P025","2026-06-19","centrum","miejska","zwarta_zabudowa",50.98046,16.92087,109,22.1,0.091,29.09,30.37,1.28,"ograniczona","tak"
"P026","2026-06-19","centrum","zielona","las",50.86687,17.33026,213,7.6,0.771,23.41,25.15,1.73,"dobra","tak"
"P027","2026-05-18","centrum","miejska","zabudowa_luzna",51.21852,17.10159,165,19.9,0.394,27.94,29.32,1.39,"dobra","tak"
"P028","2026-06-03","centrum","miejska","zabudowa_luzna",51.08206,17.24294,151,7,0.389,27.66,29.51,1.85,"dobra","tak"
"P029","2026-06-19","centrum","zielona","pole",50.8616,17.22373,181,20.7,0.588,25.47,26.42,0.95,"ograniczona","tak"
"P030","2026-06-19","wschod","zielona","pole",51.06716,17.30412,106,28.5,0.394,27.32,29.33,2.01,"ograniczona","tak"
"P031","2026-06-03","zachod","miejska","zabudowa_luzna",50.91885,16.86574,80,69.7,0.146,29.35,30.6,1.25,"odrzucona","nie"
"P032","2026-05-18","zachod","zielona","park",51.13064,16.76625,200,15.9,0.613,22.82,23.59,0.77,"dobra","tak"
"P033","2026-06-03","zachod","zielona","pole",50.98923,17.06057,176,15.2,0.403,24.62,25.1,0.47,"dobra","tak"
"P034","2026-05-18","centrum","zielona","pole",51.1433,17.21312,238,1.8,0.585,23.97,24.65,0.68,"dobra","tak"
"P035","2026-06-03","centrum","zielona","pole",51.03705,17.32547,153,27,0.535,26.9,27.84,0.95,"ograniczona","tak"
"P036","2026-05-18","centrum","miejska","zabudowa_luzna",50.96056,17.30005,157,15.6,0.22,27.51,26.9,-0.6,"dobra","tak"
"P037","2026-06-19","centrum","zielona","park",51.18591,17.29814,137,37,0.496,26.13,28.1,1.97,"ograniczona","tak"
"P038","2026-06-19","zachod","miejska","zabudowa_luzna",51.21203,17.28425,193,35.8,0.243,27.85,28.84,0.99,"ograniczona","tak"
"P039","2026-06-03","wschod","miejska","zabudowa_luzna",51.17208,16.83002,176,33.9,0.27,24.48,25.67,1.19,"ograniczona","tak"
"P040","2026-05-18","centrum","miejska","zabudowa_luzna",50.85633,17.10369,176,50.9,0.279,27.35,29.5,2.15,"odrzucona","nie"
"P041","2026-06-03","centrum","miejska","zwarta_zabudowa",51.07409,16.81049,203,7.4,-0.032,28.42,28.32,-0.1,"dobra","tak"
"P042","2026-06-19","centrum","zielona","park",50.99827,16.82345,129,33.2,0.57,25.79,27.54,1.75,"ograniczona","tak"
"P043","2026-06-19","centrum","miejska","zwarta_zabudowa",51.15178,17.1212,96,4.2,0.059,30.96,30.89,-0.07,"dobra","tak"
"P044","2026-06-19","centrum","zielona","pole",50.90964,17.12474,113,37.5,0.573,25.5,25.57,0.07,"ograniczona","tak"
"P045","2026-05-18","centrum","zielona","las",50.93201,16.80488,226,10.2,0.772,22.68,22.98,0.3,"dobra","tak"
"P046","2026-06-19","zachod","zielona","las",51.08127,17.17958,140,8.7,0.763,22.81,23.69,0.88,"dobra","tak"
"P047","2026-06-03","zachod","miejska","zabudowa_luzna",51.01245,16.77863,211,1.5,0.367,29.58,30.82,1.24,"dobra","tak"
"P048","2026-06-19","centrum","miejska","zabudowa_luzna",50.92252,16.92479,183,11.8,0.335,28.39,27.87,-0.52,"dobra","tak"
"P049","2026-06-03","zachod","miejska","zabudowa_luzna",51.0703,17.1773,125,33.6,0.278,27.49,28.98,1.49,"ograniczona","tak"
"P050","2026-06-03","zachod","zielona","pole",50.92025,17.03184,133,27.1,0.404,26.16,26.92,0.77,"ograniczona","tak"
"P051","2026-05-18","centrum","zielona","las",50.90664,16.89374,135,24,0.718,22.94,24.84,1.91,"ograniczona","tak"
"P052","2026-06-03","wschod","zielona","pole",50.87308,16.7733,155,9.8,0.497,25.05,25.97,0.92,"dobra","tak"
"P053","2026-06-19","wschod","miejska","zabudowa_luzna",50.85159,16.95212,213,33.4,0.201,29.12,30.75,1.63,"ograniczona","tak"
"P054","2026-06-19","centrum","zielona","park",51.13551,17.16319,220,5.5,0.511,24.97,26.09,1.12,"dobra","tak"
"P055","2026-06-03","zachod","zielona","pole",51.01834,17.11519,177,14.3,0.524,27.03,28.25,1.22,"dobra","tak"
"P056","2026-06-03","wschod","zielona","las",51.07787,16.76068,163,32,0.578,25.44,26.68,1.24,"ograniczona","tak"
"P057","2026-05-18","centrum","zielona","las",51.11196,16.8081,214,21.8,0.78,22.55,21.29,-1.26,"ograniczona","tak"
"P058","2026-05-18","wschod","miejska","zabudowa_luzna",50.88936,16.84005,116,8.6,0.253,26.44,26.88,0.43,"dobra","tak"
"P059","2026-06-03","centrum","miejska","zabudowa_luzna",51.06713,16.94373,238,39.9,0.211,27.59,28.35,0.76,"ograniczona","tak"
"P060","2026-05-18","zachod","miejska","zwarta_zabudowa",50.92372,16.76222,151,68.8,-0.016,28.76,29.93,1.16,"odrzucona","nie"
"P061","2026-06-19","centrum","zielona","park",51.18686,16.91383,156,19.8,0.634,25,26.63,1.63,"dobra","tak"
"P062","2026-06-19","centrum","miejska","zwarta_zabudowa",50.99107,17.10534,152,53.9,0.136,29.57,30.23,0.66,"odrzucona","nie"
"P063","2026-05-18","zachod","zielona","pole",51.06038,17.22156,206,12.1,0.476,23.67,23.54,-0.12,"dobra","tak"
"P064","2026-06-03","centrum","zielona","las",51.04524,16.78401,172,25.6,0.92,25.23,27.23,2,"ograniczona","tak"
"P065","2026-06-03","centrum","miejska","zwarta_zabudowa",51.00562,16.80403,226,28.1,0.009,28.4,30.64,2.23,"ograniczona","tak"
"P066","2026-06-19","centrum","zielona","park",50.94834,17.17792,214,19.4,0.637,22.71,24.03,1.32,"dobra","tak"
"P067","2026-06-03","centrum","zielona","park",50.93272,16.8825,148,45.1,0.653,22.65,23,0.35,"ograniczona","tak"
"P068","2026-06-19","centrum","miejska","zwarta_zabudowa",51.07453,17.04911,141,9.3,0.054,28.09,29.21,1.13,"dobra","tak"
"P069","2026-06-03","zachod","miejska","zwarta_zabudowa",50.90632,17.01737,176,4.6,0.064,31.94,31.61,-0.33,"dobra","tak"
"P070","2026-05-18","centrum","miejska","zabudowa_luzna",51.12464,16.92823,227,21.1,0.301,26.5,28.06,1.56,"ograniczona","tak"
"P071","2026-06-03","zachod","miejska","zwarta_zabudowa",51.04244,17.13509,186,17.6,-0.037,29.97,32.68,2.7,"dobra","tak"
"P072","2026-05-18","zachod","miejska","zwarta_zabudowa",51.2166,16.94003,156,13.4,0.08,28.39,29.09,0.7,"dobra","tak"
"P073","2026-05-18","wschod","miejska","zabudowa_luzna",51.01254,16.91077,256,16.2,0.265,26.52,26.42,-0.1,"dobra","tak"
"P074","2026-05-18","centrum","zielona","las",51.01053,16.95864,186,35.8,0.747,23.48,25.27,1.79,"ograniczona","tak"
"P075","2026-05-18","zachod","zielona","park",51.0836,16.8294,177,20.7,0.567,23.67,26.19,2.52,"ograniczona","tak"
"P076","2026-06-03","zachod","zielona","park",51.06848,17.18034,152,35.3,0.468,23.19,24.48,1.29,"ograniczona","tak"
"P077","2026-06-19","zachod","zielona","pole",50.85485,17.1716,185,16.2,0.545,27.4,28.57,1.17,"dobra","tak"
"P078","2026-06-03","zachod","zielona","las",50.87998,16.76741,170,18.9,0.843,23.3,25.34,2.04,"dobra","tak"
"P079","2026-06-19","wschod","zielona","park",51.16646,17.27568,194,33.2,0.631,22.91,24.67,1.76,"ograniczona","tak"
"P080","2026-06-19","centrum","zielona","las",51.04535,16.76475,246,40.4,0.716,25.32,27.26,1.94,"ograniczona","tak"
"P081","2026-06-19","zachod","miejska","zabudowa_luzna",50.95393,16.80709,216,19.8,0.087,27.58,27.75,0.17,"dobra","tak"
"P082","2026-06-03","zachod","zielona","pole",51.07845,16.80109,186,10.7,0.498,26.34,27.27,0.93,"dobra","tak"
"P083","2026-06-03","zachod","miejska","zwarta_zabudowa",51.1235,17.26309,212,11,0.14,30.88,32.75,1.87,"dobra","tak"
"P084","2026-05-18","centrum","zielona","park",51.1717,17.15019,101,31.4,0.664,23.88,23.6,-0.28,"ograniczona","tak"
"P085","2026-06-03","zachod","miejska","zabudowa_luzna",51.05793,17.06173,206,48.1,0.294,28.04,28.68,0.64,"ograniczona","tak"
"P086","2026-06-19","zachod","zielona","las",51.12103,16.80133,210,14.6,0.773,22.62,24.37,1.75,"dobra","tak"
"P087","2026-05-18","zachod","miejska","zwarta_zabudowa",50.86918,17.33296,177,23.7,0.017,28.66,30.78,2.12,"ograniczona","tak"
"P088","2026-06-03","centrum","zielona","park",51.17378,17.07186,101,17,0.525,25.2,26,0.8,"dobra","tak"
"P089","2026-06-03","centrum","zielona","pole",51.14143,17.31912,204,31.7,0.439,25,24.79,-0.22,"ograniczona","tak"
"P090","2026-05-18","centrum","zielona","pole",50.89357,17.17058,180,40.5,0.5,21.59,22.7,1.12,"ograniczona","tak"
"P091","2026-05-18","centrum","zielona","park",50.87573,16.78166,119,7.9,0.427,24.11,25.15,1.04,"dobra","tak"
"P092","2026-06-19","wschod","zielona","park",50.95003,16.99131,162,22.2,0.491,26.19,27.03,0.84,"ograniczona","tak"
"P093","2026-06-19","zachod","zielona","las",50.87678,17.10596,221,12.8,0.755,23.77,25.31,1.54,"dobra","tak"
"P094","2026-05-18","wschod","miejska","zabudowa_luzna",51.0041,16.87172,184,45,0.32,25.8,26.15,0.35,"ograniczona","tak"
"P095","2026-05-18","wschod","miejska","zabudowa_luzna",50.99542,17.13494,167,33.8,0.186,26.23,26.91,0.68,"ograniczona","tak"
"P096","2026-06-19","centrum","miejska","zabudowa_luzna",50.87363,17.07879,287,38.2,0.229,28.98,30.75,1.78,"ograniczona","tak"
"P097","2026-06-03","wschod","miejska","zabudowa_luzna",51.05211,16.94933,182,21.5,0.269,29.11,30.02,0.91,"ograniczona","tak"
"P098","2026-05-18","centrum","miejska","zwarta_zabudowa",50.89497,16.81715,187,8.7,0.078,27.68,26.91,-0.77,"dobra","tak"
"P099","2026-06-03","wschod","miejska","zabudowa_luzna",51.08557,17.21357,85,35.9,0.149,29.86,31.25,1.39,"ograniczona","tak"
"P100","2026-05-18","wschod","zielona","las",50.94352,17.18943,127,39.2,0.581,22.04,22.62,0.58,"ograniczona","tak"
"P101","2026-06-19","centrum","zielona","las",51.16421,16.86434,156,37,0.738,24.9,25.7,0.8,"ograniczona","tak"
"P102","2026-06-19","zachod","zielona","pole",51.00639,16.9307,222,37.7,0.527,27.39,27.21,-0.18,"ograniczona","tak"
"P103","2026-06-03","centrum","miejska","zabudowa_luzna",50.99148,16.82876,128,12.1,0.177,28.77,28.97,0.2,"dobra","tak"
"P104","2026-06-03","wschod","zielona","las",50.97007,16.95697,218,19.1,0.813,22.53,23.18,0.65,"dobra","tak"
"P105","2026-06-19","zachod","zielona","pole",50.8901,17.34009,256,27,0.419,26.4,27.59,1.18,"ograniczona","tak"
"P106","2026-06-19","centrum","miejska","zwarta_zabudowa",51.11075,16.95413,173,62.8,0.085,31.05,32.84,1.79,"odrzucona","nie"
"P107","2026-05-18","wschod","miejska","zabudowa_luzna",50.87295,17.11003,234,42.2,0.173,25.91,27.1,1.2,"ograniczona","tak"
"P108","2026-06-19","wschod","zielona","las",50.87373,16.93737,172,30.8,0.664,24.21,25.57,1.36,"ograniczona","tak"
"P109","2026-06-03","centrum","miejska","zabudowa_luzna",51.16697,17.04403,88,1.3,0.18,30.31,30.95,0.64,"dobra","tak"
"P110","2026-05-18","centrum","zielona","pole",51.125,16.83039,166,42,0.526,23.26,24.86,1.6,"ograniczona","tak"
"P111","2026-05-18","zachod","zielona","las",51.04392,17.29721,219,11.7,0.719,22.67,24.12,1.45,"dobra","tak"
"P112","2026-06-03","wschod","zielona","pole",51.12357,17.0147,145,52.8,0.357,24.98,26.54,1.55,"odrzucona","nie"
"P113","2026-05-18","zachod","miejska","zabudowa_luzna",51.0472,16.99072,97,54.9,0.414,27.65,28.74,1.1,"odrzucona","nie"
"P114","2026-06-19","zachod","zielona","las",51.15759,16.88647,143,17.8,0.849,26.13,25.86,-0.27,"dobra","tak"
"P115","2026-06-03","centrum","zielona","park",50.89648,17.11665,144,38.5,0.582,24.94,27.16,2.22,"ograniczona","tak"
"P116","2026-06-03","wschod","zielona","las",50.88444,16.90354,95,30.7,0.667,25.23,27.39,2.16,"ograniczona","tak"
"P117","2026-06-19","centrum","miejska","zwarta_zabudowa",50.92539,16.9673,187,3.2,0.187,29.18,28.46,-0.72,"dobra","tak"
"P118","2026-06-03","centrum","miejska","zabudowa_luzna",51.10243,17.15737,217,56.1,0.243,29.31,32.69,3.38,"odrzucona","nie"
"P119","2026-05-18","zachod","miejska","zabudowa_luzna",51.16372,16.81975,140,5,0.307,28.7,30.19,1.49,"dobra","tak"
"P120","2026-06-03","centrum","zielona","park",51.17514,16.80726,192,50.2,0.567,25.62,26.34,0.73,"odrzucona","nie"
"P121","2026-05-18","centrum","zielona","las",51.13691,16.93541,151,9.4,0.796,23.44,23.37,-0.07,"dobra","tak"
"P122","2026-06-03","zachod","zielona","las",50.9585,16.78162,251,24.4,0.827,24.97,26.77,1.8,"ograniczona","tak"
"P123","2026-05-18","centrum","miejska","zabudowa_luzna",51.05038,17.0397,174,41.9,0.165,26.74,25.56,-1.18,"ograniczona","tak"
"P124","2026-06-03","centrum","zielona","las",50.90403,17.32158,191,19.1,0.709,22.06,23.39,1.33,"dobra","tak"
"P125","2026-05-18","centrum","zielona","park",51.06101,16.78723,82,10,0.716,23.57,23.54,-0.03,"dobra","tak"
"P126","2026-06-19","zachod","zielona","park",50.93115,17.12581,170,26.8,0.637,28.44,30.14,1.7,"ograniczona","tak"
"P127","2026-05-18","centrum","zielona","las",51.13098,17.04088,242,40,0.717,22.73,22.98,0.25,"ograniczona","tak"
"P128","2026-05-18","zachod","miejska","zwarta_zabudowa",50.91216,17.30265,99,55.3,0.037,27.16,26.62,-0.54,"odrzucona","nie"
"P129","2026-05-18","centrum","zielona","park",50.93972,16.91838,165,30,0.617,25.36,27.87,2.51,"ograniczona","tak"
"P130","2026-06-03","zachod","miejska","zabudowa_luzna",51.13148,17.14096,130,15.1,0.177,29.92,30.16,0.24,"dobra","tak"
"P131","2026-05-18","centrum","zielona","pole",51.13984,17.30227,130,16.8,0.469,24.32,26.24,1.92,"dobra","tak"
"P132","2026-05-18","centrum","zielona","park",50.89473,17.10639,136,28.3,0.564,24.28,24.52,0.24,"ograniczona","tak"
"P133","2026-06-03","centrum","zielona","park",51.2173,16.85897,221,50.2,0.607,25.14,26.78,1.64,"odrzucona","nie"
"P134","2026-06-19","centrum","miejska","zwarta_zabudowa",51.18526,17.23726,126,0.4,0.133,33.62,34.53,0.91,"dobra","tak"
"P135","2026-06-03","zachod","miejska","zwarta_zabudowa",51.06075,17.30062,127,8.8,0.124,30.75,31.69,0.95,"dobra","tak"
"P136","2026-06-19","wschod","zielona","park",50.99293,17.29057,174,45.2,0.516,25.95,28.06,2.11,"ograniczona","tak"
"P137","2026-06-19","wschod","zielona","las",51.14887,16.89172,232,10.6,0.688,23.26,24.36,1.1,"dobra","tak"
"P138","2026-06-03","wschod","miejska","zabudowa_luzna",50.87615,16.82651,240,10.6,0.245,25.63,26.24,0.61,"dobra","tak"
"P139","2026-06-19","zachod","zielona","park",51.13024,17.01155,149,12.4,0.598,25.86,25.7,-0.16,"dobra","tak"
"P140","2026-05-18","wschod","zielona","pole",51.01617,16.82973,101,25.6,0.31,24.46,25.15,0.68,"ograniczona","tak"
"P141","2026-06-03","wschod","zielona","las",50.85641,17.09594,111,24.5,0.733,25.19,26.69,1.5,"ograniczona","tak"
"P142","2026-06-03","centrum","miejska","zabudowa_luzna",51.12348,17.1899,186,14.8,0.336,27.06,27.82,0.76,"dobra","tak"
"P143","2026-05-18","zachod","miejska","zwarta_zabudowa",51.05649,16.78964,147,12.2,0.213,28.98,31.45,2.47,"dobra","tak"
"P144","2026-05-18","wschod","miejska","zwarta_zabudowa",51.0756,16.8001,192,8.6,0.088,28.21,29.02,0.8,"dobra","tak"
"P145","2026-06-03","centrum","miejska","zwarta_zabudowa",50.97252,17.24783,126,28.2,0.277,32.11,33.6,1.49,"ograniczona","tak"
"P146","2026-05-18","centrum","miejska","zwarta_zabudowa",51.0935,17.25774,179,7.7,0.039,28.32,28.69,0.37,"dobra","tak"
"P147","2026-06-03","centrum","miejska","zabudowa_luzna",51.07579,17.19425,130,37.6,0.231,27.54,28.34,0.8,"ograniczona","tak"
"P148","2026-05-18","wschod","miejska","zwarta_zabudowa",51.17981,17.28501,152,52.1,0.193,29.12,30.27,1.15,"odrzucona","nie"
"P149","2026-05-18","zachod","zielona","park",51.0198,16.91633,102,28.6,0.584,21.38,21.49,0.11,"ograniczona","tak"
"P150","2026-06-03","centrum","zielona","park",50.91596,16.77659,181,1.6,0.79,22.56,24.04,1.49,"dobra","tak"
"P151","2026-06-19","wschod","zielona","park",51.20947,16.76015,90,1.9,0.651,26.76,27.85,1.09,"dobra","tak"
"P152","2026-06-19","wschod","zielona","pole",50.93731,17.34503,159,9.6,0.578,29.14,30.21,1.06,"dobra","tak"
"P153","2026-06-03","wschod","miejska","zwarta_zabudowa",51.14939,16.90242,137,30.6,0.113,29.53,30.6,1.07,"ograniczona","tak"
"P154","2026-06-03","centrum","miejska","zwarta_zabudowa",51.1923,17.22149,121,5.9,0.05,29.08,29.69,0.61,"dobra","tak"
"P155","2026-06-03","wschod","zielona","pole",51.2018,17.05084,153,12.9,0.655,27.89,29.13,1.24,"dobra","tak"
"P156","2026-06-19","wschod","zielona","park",50.96296,16.94087,219,3,0.695,26.46,28.11,1.65,"dobra","tak"
"P157","2026-06-19","wschod","miejska","zwarta_zabudowa",50.97781,16.79479,176,7.5,-0.038,30.69,33.49,2.8,"dobra","tak"
"P158","2026-06-03","centrum","zielona","pole",50.91792,17.24876,203,35.2,0.418,25.87,27.07,1.2,"ograniczona","tak"
"P159","2026-05-18","wschod","zielona","las",51.05052,17.22034,214,27.7,0.7,21.21,23.14,1.94,"ograniczona","tak"
"P160","2026-06-19","wschod","miejska","zwarta_zabudowa",51.12321,17.18858,138,33.5,0.069,31.13,33.5,2.38,"ograniczona","tak"
"P161","2026-06-19","wschod","zielona","park",51.06517,17.24658,181,4.8,0.688,25.99,28.29,2.3,"dobra","tak"
"P162","2026-05-18","wschod","miejska","zabudowa_luzna",51.06478,16.80901,195,16.4,0.366,26.64,27.52,0.88,"dobra","tak"
"P163","2026-06-03","centrum","miejska","zabudowa_luzna",50.99667,17.33929,143,22.2,0.077,27.49,28.89,1.4,"ograniczona","tak"
"P164","2026-06-03","centrum","miejska","zabudowa_luzna",51.12254,17.29159,235,43,0.29,28.64,30.5,1.86,"ograniczona","tak"
"P165","2026-06-03","centrum","miejska","zwarta_zabudowa",51.2037,16.77051,80,37.3,0.077,30.5,30.64,0.14,"ograniczona","tak"
"P166","2026-06-19","wschod","zielona","las",50.91331,16.76925,259,15.4,0.77,23.89,25.08,1.19,"dobra","tak"
"P167","2026-06-03","wschod","zielona","park",51.20066,17.00577,137,48,0.496,23.78,25.4,1.62,"ograniczona","tak"
"P168","2026-06-03","centrum","zielona","park",50.96477,17.34592,202,17,0.574,23.95,25.9,1.95,"dobra","tak"
"P169","2026-05-18","centrum","zielona","las",50.88541,16.83693,136,41.2,0.699,24,23.83,-0.16,"ograniczona","tak"
"P170","2026-05-18","centrum","zielona","las",51.01139,16.94765,137,5.8,0.831,24.62,26.4,1.78,"dobra","tak"
"P171","2026-06-19","centrum","miejska","zwarta_zabudowa",51.14562,17.26175,168,17.2,0.045,30.78,31.37,0.59,"dobra","tak"
"P172","2026-06-03","centrum","zielona","las",50.86362,17.15775,204,28.6,0.721,25.67,26.6,0.93,"ograniczona","tak"
"P173","2026-06-19","centrum","miejska","zabudowa_luzna",51.15914,17.28254,152,12.8,0.237,29.94,29.61,-0.32,"dobra","tak"
"P174","2026-05-18","centrum","zielona","las",50.85823,17.15236,218,55.9,0.594,21.56,22.14,0.58,"odrzucona","nie"
"P175","2026-05-18","wschod","zielona","pole",51.10024,17.3262,132,45.1,0.473,22.17,23.95,1.79,"ograniczona","tak"
"P176","2026-06-03","centrum","miejska","zabudowa_luzna",50.96415,17.28868,121,41.8,0.126,28.42,30.79,2.37,"ograniczona","tak"
"P177","2026-06-03","wschod","zielona","pole",50.97727,16.78686,127,18.7,0.478,25.96,27.26,1.3,"dobra","tak"
"P178","2026-06-03","wschod","zielona","pole",51.08007,17.28546,218,36.8,0.288,26.39,28.56,2.16,"ograniczona","tak"
"P179","2026-06-19","zachod","zielona","park",51.09458,16.81392,148,46.2,0.557,28.44,30.01,1.57,"ograniczona","tak"
"P180","2026-06-03","zachod","zielona","pole",51.10156,17.11433,160,10.2,0.297,27.02,27.96,0.94,"dobra","tak"
