"date","year","month","noclegi"
"2020-05-01",2020,5,3.9
"2020-06-01",2020,6,5.4
"2020-07-01",2020,7,11.7
"2020-08-01",2020,8,16
"2020-09-01",2020,9,11.2
"2020-10-01",2020,10,5.6
"2020-11-01",2020,11,2.6
"2020-12-01",2020,12,0.8
"2021-01-01",2021,1,2.9
"2021-02-01",2021,2,3
"2021-03-01",2021,3,3.9
"2021-04-01",2021,4,5.8
"2021-05-01",2021,5,7.9
"2021-06-01",2021,6,14.3
"2021-07-01",2021,7,39.3
"2021-08-01",2021,8,40.2
"2021-09-01",2021,9,29.6
"2021-10-01",2021,10,20.8
"2021-11-01",2021,11,12.8
"2021-12-01",2021,12,12
"2022-01-01",2022,1,10.2
"2022-02-01",2022,2,8.9
"2022-03-01",2022,3,12.8
"2022-04-01",2022,4,17.6
"2022-05-01",2022,5,19.5
"2022-06-01",2022,6,27.6
"2022-07-01",2022,7,40.8
"2022-08-01",2022,8,41.4
"2022-09-01",2022,9,31.1
"2022-10-01",2022,10,20.8
"2022-11-01",2022,11,13
"2022-12-01",2022,12,12.4
"2023-01-01",2023,1,10.5
"2023-02-01",2023,2,10
"2023-03-01",2023,3,13.4
"2023-04-01",2023,4,17.4
"2023-05-01",2023,5,21.4
"2023-06-01",2023,6,29.1
"2023-07-01",2023,7,42.7
"2023-08-01",2023,8,42.5
"2023-09-01",2023,9,32.5
"2023-10-01",2023,10,22.2
"2023-11-01",2023,11,12.8
"2023-12-01",2023,12,13
