"date","year","month","temp"
"1972-11-01",1972,11,3.48
"1972-12-01",1972,12,-2.02
"1973-01-01",1973,1,-6.21
"1973-02-01",1973,2,-0.4
"1973-03-01",1973,3,3.11
"1973-04-01",1973,4,10.57
"1973-05-01",1973,5,15.81
"1973-06-01",1973,6,19.65
"1973-07-01",1973,7,21.41
"1973-08-01",1973,8,19.51
"1973-09-01",1973,9,12.68
"1973-10-01",1973,10,7.42
"1973-11-01",1973,11,3.56
"1973-12-01",1973,12,-0.89
"1974-01-01",1974,1,-3.5
"1974-02-01",1974,2,-3.45
"1974-03-01",1974,3,2.46
"1974-04-01",1974,4,9.41
"1974-05-01",1974,5,16.01
"1974-06-01",1974,6,18.71
"1974-07-01",1974,7,22.09
"1974-08-01",1974,8,20.1
"1974-09-01",1974,9,15.44
"1974-10-01",1974,10,8.04
"1974-11-01",1974,11,1.7
"1974-12-01",1974,12,-0.82
"1975-01-01",1975,1,-1.07
"1975-02-01",1975,2,2.34
"1975-03-01",1975,3,2.83
"1975-04-01",1975,4,10.72
"1975-05-01",1975,5,17.42
"1975-06-01",1975,6,17.82
"1975-07-01",1975,7,20.68
"1975-08-01",1975,8,20.79
"1975-09-01",1975,9,16.45
"1975-10-01",1975,10,6.89
"1975-11-01",1975,11,1.03
"1975-12-01",1975,12,-0.69
"1976-01-01",1976,1,-1.59
"1976-02-01",1976,2,-2.07
"1976-03-01",1976,3,3.38
"1976-04-01",1976,4,11.12
"1976-05-01",1976,5,17.35
"1976-06-01",1976,6,19.06
"1976-07-01",1976,7,20.08
"1976-08-01",1976,8,20.83
"1976-09-01",1976,9,14.89
"1976-10-01",1976,10,10.48
"1976-11-01",1976,11,3.38
"1976-12-01",1976,12,-2.73
"1977-01-01",1977,1,-4.81
"1977-02-01",1977,2,-2.37
"1977-03-01",1977,3,7.95
"1977-04-01",1977,4,9.06
"1977-05-01",1977,5,15.09
"1977-06-01",1977,6,18.51
"1977-07-01",1977,7,21.71
"1977-08-01",1977,8,18.96
"1977-09-01",1977,9,13.16
"1977-10-01",1977,10,8.94
"1977-11-01",1977,11,3.41
"1977-12-01",1977,12,-1.79
"1978-01-01",1978,1,1.19
"1978-02-01",1978,2,-1.36
"1978-03-01",1978,3,2.44
"1978-04-01",1978,4,10.63
"1978-05-01",1978,5,12.44
"1978-06-01",1978,6,17.97
"1978-07-01",1978,7,20.4
"1978-08-01",1978,8,19.01
"1978-09-01",1978,9,16.56
"1978-10-01",1978,10,8.02
"1978-11-01",1978,11,4.47
"1978-12-01",1978,12,-2.93
"1979-01-01",1979,1,-0.59
"1979-02-01",1979,2,-4.01
"1979-03-01",1979,3,3.91
"1979-04-01",1979,4,10.32
"1979-05-01",1979,5,14.28
"1979-06-01",1979,6,16.27
"1979-07-01",1979,7,20.76
"1979-08-01",1979,8,19.95
"1979-09-01",1979,9,15.72
"1979-10-01",1979,10,10.83
"1979-11-01",1979,11,1.3
"1979-12-01",1979,12,-0.12
"1980-01-01",1980,1,-4.09
"1980-02-01",1980,2,0.73
"1980-03-01",1980,3,3.35
"1980-04-01",1980,4,10.84
"1980-05-01",1980,5,16.24
"1980-06-01",1980,6,17.47
"1980-07-01",1980,7,17.47
"1980-08-01",1980,8,19.22
"1980-09-01",1980,9,15.75
"1980-10-01",1980,10,9.88
"1980-11-01",1980,11,4.58
"1980-12-01",1980,12,-2.31
"1981-01-01",1981,1,-2.8
"1981-02-01",1981,2,-0.29
"1981-03-01",1981,3,2.9
"1981-04-01",1981,4,8.83
"1981-05-01",1981,5,15.87
"1981-06-01",1981,6,17.81
"1981-07-01",1981,7,20.59
"1981-08-01",1981,8,20.12
"1981-09-01",1981,9,15.58
"1981-10-01",1981,10,7.76
"1981-11-01",1981,11,5.4
"1981-12-01",1981,12,-1.33
"1982-01-01",1982,1,-3.01
"1982-02-01",1982,2,-1.24
"1982-03-01",1982,3,4.04
"1982-04-01",1982,4,9.59
"1982-05-01",1982,5,14.98
"1982-06-01",1982,6,17.93
"1982-07-01",1982,7,23.63
"1982-08-01",1982,8,18.8
"1982-09-01",1982,9,15.03
"1982-10-01",1982,10,8.44
"1982-11-01",1982,11,3.36
"1982-12-01",1982,12,-0.67
"1983-01-01",1983,1,-0.27
"1983-02-01",1983,2,-0.46
"1983-03-01",1983,3,1.73
"1983-04-01",1983,4,10.95
"1983-05-01",1983,5,15.11
"1983-06-01",1983,6,20.29
"1983-07-01",1983,7,20.42
"1983-08-01",1983,8,21.05
"1983-09-01",1983,9,16.06
"1983-10-01",1983,10,7.21
"1983-11-01",1983,11,5
"1983-12-01",1983,12,0.09
"1984-01-01",1984,1,-2.97
"1984-02-01",1984,2,-1.21
"1984-03-01",1984,3,2.13
"1984-04-01",1984,4,9.56
"1984-05-01",1984,5,18.12
"1984-06-01",1984,6,19.73
"1984-07-01",1984,7,20.69
"1984-08-01",1984,8,18.87
"1984-09-01",1984,9,16.17
"1984-10-01",1984,10,5.95
"1984-11-01",1984,11,3.38
"1984-12-01",1984,12,-0.81
"1985-01-01",1985,1,-1.91
"1985-02-01",1985,2,0.03
"1985-03-01",1985,3,6
"1985-04-01",1985,4,9.95
"1985-05-01",1985,5,16.5
"1985-06-01",1985,6,19.68
"1985-07-01",1985,7,21.49
"1985-08-01",1985,8,20.16
"1985-09-01",1985,9,13.34
"1985-10-01",1985,10,7.73
"1985-11-01",1985,11,0.88
"1985-12-01",1985,12,0.22
"1986-01-01",1986,1,-4.74
"1986-02-01",1986,2,1.27
"1986-03-01",1986,3,3.93
"1986-04-01",1986,4,9.26
"1986-05-01",1986,5,16.57
"1986-06-01",1986,6,18.26
"1986-07-01",1986,7,22.52
"1986-08-01",1986,8,18.14
"1986-09-01",1986,9,16.01
"1986-10-01",1986,10,10.86
"1986-11-01",1986,11,6.02
"1986-12-01",1986,12,1.41
"1987-01-01",1987,1,-0.94
"1987-02-01",1987,2,-2.19
"1987-03-01",1987,3,5.48
"1987-04-01",1987,4,11.28
"1987-05-01",1987,5,13.12
"1987-06-01",1987,6,17.45
"1987-07-01",1987,7,19.67
"1987-08-01",1987,8,20.08
"1987-09-01",1987,9,14.04
"1987-10-01",1987,10,11.09
"1987-11-01",1987,11,2.81
"1987-12-01",1987,12,-1.21
"1988-01-01",1988,1,-1.5
"1988-02-01",1988,2,-1.45
"1988-03-01",1988,3,2.4
"1988-04-01",1988,4,9.19
"1988-05-01",1988,5,15.69
"1988-06-01",1988,6,18.15
"1988-07-01",1988,7,18.95
"1988-08-01",1988,8,21.38
"1988-09-01",1988,9,13.73
"1988-10-01",1988,10,5.76
"1988-11-01",1988,11,4.21
"1988-12-01",1988,12,0.78
"1989-01-01",1989,1,-1.6
"1989-02-01",1989,2,0.17
"1989-03-01",1989,3,2.45
"1989-04-01",1989,4,11.67
"1989-05-01",1989,5,16.36
"1989-06-01",1989,6,19.64
"1989-07-01",1989,7,21.3
"1989-08-01",1989,8,21.8
"1989-09-01",1989,9,12.75
"1989-10-01",1989,10,8.9
"1989-11-01",1989,11,3.35
"1989-12-01",1989,12,1.28
"1990-01-01",1990,1,0.35
"1990-02-01",1990,2,-1.66
"1990-03-01",1990,3,5.25
"1990-04-01",1990,4,9.68
"1990-05-01",1990,5,15.03
"1990-06-01",1990,6,18.72
"1990-07-01",1990,7,20.27
"1990-08-01",1990,8,20.13
"1990-09-01",1990,9,14.89
"1990-10-01",1990,10,7.95
"1990-11-01",1990,11,2.42
"1990-12-01",1990,12,0.41
"1991-01-01",1991,1,-1.78
"1991-02-01",1991,2,-1.65
"1991-03-01",1991,3,3.22
"1991-04-01",1991,4,10.81
"1991-05-01",1991,5,14.25
"1991-06-01",1991,6,19.28
"1991-07-01",1991,7,20.27
"1991-08-01",1991,8,20.53
"1991-09-01",1991,9,14.32
"1991-10-01",1991,10,10.4
"1991-11-01",1991,11,3.18
"1991-12-01",1991,12,-0.68
"1992-01-01",1992,1,-1.65
"1992-02-01",1992,2,-1.07
"1992-03-01",1992,3,3.02
"1992-04-01",1992,4,10.22
"1992-05-01",1992,5,14.69
"1992-06-01",1992,6,20.15
"1992-07-01",1992,7,18.5
"1992-08-01",1992,8,21
"1992-09-01",1992,9,16.11
"1992-10-01",1992,10,8.01
"1992-11-01",1992,11,4.35
"1992-12-01",1992,12,-0.44
"1993-01-01",1993,1,0.96
"1993-02-01",1993,2,-1.92
"1993-03-01",1993,3,1.31
"1993-04-01",1993,4,12.52
"1993-05-01",1993,5,15.43
"1993-06-01",1993,6,17.34
"1993-07-01",1993,7,20.75
"1993-08-01",1993,8,20.87
"1993-09-01",1993,9,13.74
"1993-10-01",1993,10,10.3
"1993-11-01",1993,11,2.47
"1993-12-01",1993,12,-1.62
"1994-01-01",1994,1,-3.08
"1994-02-01",1994,2,-1.27
"1994-03-01",1994,3,3.94
"1994-04-01",1994,4,7.1
"1994-05-01",1994,5,14.44
"1994-06-01",1994,6,18.24
"1994-07-01",1994,7,19.6
"1994-08-01",1994,8,17.53
"1994-09-01",1994,9,14.56
"1994-10-01",1994,10,11.44
"1994-11-01",1994,11,1.69
"1994-12-01",1994,12,0.69
"1995-01-01",1995,1,-1.09
"1995-02-01",1995,2,-0.25
"1995-03-01",1995,3,3.09
"1995-04-01",1995,4,8.47
"1995-05-01",1995,5,15.25
"1995-06-01",1995,6,19.78
"1995-07-01",1995,7,21.02
"1995-08-01",1995,8,23.14
"1995-09-01",1995,9,14.9
"1995-10-01",1995,10,7.93
"1995-11-01",1995,11,0.74
"1995-12-01",1995,12,-0.16
"1996-01-01",1996,1,-3.66
"1996-02-01",1996,2,-1.37
"1996-03-01",1996,3,4.78
"1996-04-01",1996,4,8.61
"1996-05-01",1996,5,15.07
"1996-06-01",1996,6,21.13
"1996-07-01",1996,7,21.67
"1996-08-01",1996,8,19.37
"1996-09-01",1996,9,14.6
"1996-10-01",1996,10,9.18
"1996-11-01",1996,11,4.34
"1996-12-01",1996,12,0.2
"1997-01-01",1997,1,-1.45
"1997-02-01",1997,2,-0.95
"1997-03-01",1997,3,4.04
"1997-04-01",1997,4,10.48
"1997-05-01",1997,5,13.26
"1997-06-01",1997,6,21.09
"1997-07-01",1997,7,20.33
"1997-08-01",1997,8,21.07
"1997-09-01",1997,9,17.03
"1997-10-01",1997,10,11.9
"1997-11-01",1997,11,2.47
"1997-12-01",1997,12,-0.49
"1998-01-01",1998,1,-4.38
"1998-02-01",1998,2,-0.28
"1998-03-01",1998,3,4.25
"1998-04-01",1998,4,10.9
"1998-05-01",1998,5,15.91
"1998-06-01",1998,6,16.38
"1998-07-01",1998,7,19.37
"1998-08-01",1998,8,19.04
"1998-09-01",1998,9,16.31
"1998-10-01",1998,10,7.12
"1998-11-01",1998,11,4.53
"1998-12-01",1998,12,1.83
"1999-01-01",1999,1,-2.81
"1999-02-01",1999,2,-0.85
"1999-03-01",1999,3,5.99
"1999-04-01",1999,4,8.18
"1999-05-01",1999,5,13.98
"1999-06-01",1999,6,20.16
"1999-07-01",1999,7,18.2
"1999-08-01",1999,8,19.15
"1999-09-01",1999,9,16.31
"1999-10-01",1999,10,9.45
"1999-11-01",1999,11,3.6
"1999-12-01",1999,12,-1.65
"2000-01-01",2000,1,0.54
"2000-02-01",2000,2,1.5
"2000-03-01",2000,3,4.43
"2000-04-01",2000,4,8.49
"2000-05-01",2000,5,13.81
"2000-06-01",2000,6,19.7
"2000-07-01",2000,7,20.43
"2000-08-01",2000,8,19.98
"2000-09-01",2000,9,14.76
"2000-10-01",2000,10,11.31
"2000-11-01",2000,11,4.15
"2000-12-01",2000,12,-0.7
"2001-01-01",2001,1,-5.58
"2001-02-01",2001,2,1.24
"2001-03-01",2001,3,5.28
"2001-04-01",2001,4,10.42
"2001-05-01",2001,5,16.05
"2001-06-01",2001,6,17.87
"2001-07-01",2001,7,20.69
"2001-08-01",2001,8,17.51
"2001-09-01",2001,9,15.13
"2001-10-01",2001,10,8.56
"2001-11-01",2001,11,1.72
"2001-12-01",2001,12,1.43
"2002-01-01",2002,1,-2.85
"2002-02-01",2002,2,1.69
"2002-03-01",2002,3,5.13
"2002-04-01",2002,4,9.05
"2002-05-01",2002,5,17
"2002-06-01",2002,6,22.25
"2002-07-01",2002,7,20.94
"2002-08-01",2002,8,20.67
"2002-09-01",2002,9,16.42
"2002-10-01",2002,10,7.77
"2002-11-01",2002,11,3
"2002-12-01",2002,12,-1.25
"2003-01-01",2003,1,-2.19
"2003-02-01",2003,2,0.72
"2003-03-01",2003,3,4.09
"2003-04-01",2003,4,8.67
"2003-05-01",2003,5,15.57
"2003-06-01",2003,6,18.87
"2003-07-01",2003,7,18.97
"2003-08-01",2003,8,19.09
"2003-09-01",2003,9,12.94
"2003-10-01",2003,10,8.84
"2003-11-01",2003,11,2.38
"2003-12-01",2003,12,1.53
"2004-01-01",2004,1,-3.44
"2004-02-01",2004,2,0.49
"2004-03-01",2004,3,4.77
"2004-04-01",2004,4,12.28
"2004-05-01",2004,5,14.72
"2004-06-01",2004,6,18.41
"2004-07-01",2004,7,21.9
"2004-08-01",2004,8,21.59
"2004-09-01",2004,9,15.59
"2004-10-01",2004,10,7.51
"2004-11-01",2004,11,2.21
"2004-12-01",2004,12,2.64
"2005-01-01",2005,1,-2.56
"2005-02-01",2005,2,-3.32
"2005-03-01",2005,3,5.91
"2005-04-01",2005,4,9.17
"2005-05-01",2005,5,15.27
"2005-06-01",2005,6,18.76
"2005-07-01",2005,7,21.72
"2005-08-01",2005,8,22.07
"2005-09-01",2005,9,14.44
"2005-10-01",2005,10,8.91
"2005-11-01",2005,11,3.29
"2005-12-01",2005,12,-0.11
"2006-01-01",2006,1,-1.02
"2006-02-01",2006,2,-1.24
"2006-03-01",2006,3,4.77
"2006-04-01",2006,4,11.56
"2006-05-01",2006,5,13.51
"2006-06-01",2006,6,19.9
"2006-07-01",2006,7,19.96
"2006-08-01",2006,8,21.77
"2006-09-01",2006,9,15.29
"2006-10-01",2006,10,8.81
"2006-11-01",2006,11,4.28
"2006-12-01",2006,12,-0.31
"2007-01-01",2007,1,-2.19
"2007-02-01",2007,2,-1.48
"2007-03-01",2007,3,3.99
"2007-04-01",2007,4,9.13
"2007-05-01",2007,5,15.84
"2007-06-01",2007,6,19.11
"2007-07-01",2007,7,21.82
"2007-08-01",2007,8,18.64
"2007-09-01",2007,9,15.22
"2007-10-01",2007,10,10.11
"2007-11-01",2007,11,4.02
"2007-12-01",2007,12,4
"2008-01-01",2008,1,-1
"2008-02-01",2008,2,-0.72
"2008-03-01",2008,3,5.52
"2008-04-01",2008,4,10.47
"2008-05-01",2008,5,15.12
"2008-06-01",2008,6,17.58
"2008-07-01",2008,7,20.55
"2008-08-01",2008,8,20.27
"2008-09-01",2008,9,16.58
"2008-10-01",2008,10,10.81
"2008-11-01",2008,11,4.71
"2008-12-01",2008,12,-1.2
"2009-01-01",2009,1,-2.33
"2009-02-01",2009,2,2
"2009-03-01",2009,3,7.08
"2009-04-01",2009,4,8.23
"2009-05-01",2009,5,14.59
"2009-06-01",2009,6,20.88
"2009-07-01",2009,7,20.81
"2009-08-01",2009,8,19.27
"2009-09-01",2009,9,14.72
"2009-10-01",2009,10,7.99
"2009-11-01",2009,11,3.61
"2009-12-01",2009,12,-0.83
"2010-01-01",2010,1,-0.99
"2010-02-01",2010,2,0.49
"2010-03-01",2010,3,3.96
"2010-04-01",2010,4,9.82
"2010-05-01",2010,5,16.13
"2010-06-01",2010,6,19.76
"2010-07-01",2010,7,23.34
"2010-08-01",2010,8,20.16
"2010-09-01",2010,9,15.21
"2010-10-01",2010,10,12
"2010-11-01",2010,11,4.43
"2010-12-01",2010,12,0.29
"2011-01-01",2011,1,-0.51
"2011-02-01",2011,2,-1.9
"2011-03-01",2011,3,3.85
"2011-04-01",2011,4,10.45
"2011-05-01",2011,5,14.71
"2011-06-01",2011,6,20.65
"2011-07-01",2011,7,22.22
"2011-08-01",2011,8,22.2
"2011-09-01",2011,9,16.72
"2011-10-01",2011,10,9.32
"2011-11-01",2011,11,2.27
"2011-12-01",2011,12,1.5
"2012-01-01",2012,1,-3.57
"2012-02-01",2012,2,-0.14
"2012-03-01",2012,3,2.43
"2012-04-01",2012,4,10.01
"2012-05-01",2012,5,17.53
"2012-06-01",2012,6,19.9
"2012-07-01",2012,7,23.49
"2012-08-01",2012,8,19.03
"2012-09-01",2012,9,15.33
"2012-10-01",2012,10,7.69
"2012-11-01",2012,11,4.91
"2012-12-01",2012,12,-0.87
"2013-01-01",2013,1,-3.43
"2013-02-01",2013,2,-0.15
"2013-03-01",2013,3,4.46
"2013-04-01",2013,4,10.07
"2013-05-01",2013,5,17.5
"2013-06-01",2013,6,18.77
"2013-07-01",2013,7,20.84
"2013-08-01",2013,8,21.64
"2013-09-01",2013,9,18.25
"2013-10-01",2013,10,9.5
"2013-11-01",2013,11,5.3
"2013-12-01",2013,12,-0.51
"2014-01-01",2014,1,-1.78
"2014-02-01",2014,2,-0.02
"2014-03-01",2014,3,3.09
"2014-04-01",2014,4,13.87
"2014-05-01",2014,5,14.67
"2014-06-01",2014,6,19.15
"2014-07-01",2014,7,18.61
"2014-08-01",2014,8,20.48
"2014-09-01",2014,9,12.85
"2014-10-01",2014,10,8.46
"2014-11-01",2014,11,3.27
"2014-12-01",2014,12,0.45
"2015-01-01",2015,1,-5.7
"2015-02-01",2015,2,-0.6
"2015-03-01",2015,3,4.11
"2015-04-01",2015,4,11.62
"2015-05-01",2015,5,15.51
"2015-06-01",2015,6,19.36
"2015-07-01",2015,7,20.69
"2015-08-01",2015,8,22.02
"2015-09-01",2015,9,13.93
"2015-10-01",2015,10,8.07
"2015-11-01",2015,11,4.51
"2015-12-01",2015,12,1.09
"2016-01-01",2016,1,-1.39
"2016-02-01",2016,2,1.75
"2016-03-01",2016,3,4.57
"2016-04-01",2016,4,9.82
"2016-05-01",2016,5,16.49
"2016-06-01",2016,6,18.1
"2016-07-01",2016,7,18.9
"2016-08-01",2016,8,20.81
"2016-09-01",2016,9,16.39
"2016-10-01",2016,10,9.23
"2016-11-01",2016,11,4.67
"2016-12-01",2016,12,-0.92
"2017-01-01",2017,1,0.62
"2017-02-01",2017,2,0.49
"2017-03-01",2017,3,3.53
"2017-04-01",2017,4,14.95
"2017-05-01",2017,5,17.58
"2017-06-01",2017,6,21.04
"2017-07-01",2017,7,20.05
"2017-08-01",2017,8,22.5
"2017-09-01",2017,9,15.39
"2017-10-01",2017,10,9.37
"2017-11-01",2017,11,5.39
"2017-12-01",2017,12,-0.42
"2018-01-01",2018,1,-3.32
"2018-02-01",2018,2,1.5
"2018-03-01",2018,3,3.34
"2018-04-01",2018,4,9.91
"2018-05-01",2018,5,16.51
"2018-06-01",2018,6,21.48
"2018-07-01",2018,7,20.44
"2018-08-01",2018,8,22.25
"2018-09-01",2018,9,15.31
