"date","year","wig20","log_return"
"2005-07-29",2005,3367,0.00257
"2005-08-05",2005,3360,-0.00228
"2005-08-12",2005,3522,0.04732
"2005-08-19",2005,3472,-0.01453
"2005-08-26",2005,3485,0.00385
"2005-09-02",2005,3617,0.03723
"2005-09-09",2005,3657,0.01099
"2005-09-16",2005,3638,-0.00513
"2005-09-23",2005,3615,-0.00653
"2005-09-30",2005,3584,-0.00858
"2005-10-07",2005,3532,-0.01457
"2005-10-14",2005,3546,0.00386
"2005-10-21",2005,3595,0.01392
"2005-10-28",2005,3486,-0.03079
"2005-11-04",2005,3379,-0.03126
"2005-11-11",2005,3401,0.00648
"2005-11-18",2005,3440,0.01141
"2005-11-25",2005,3485,0.01294
"2005-12-02",2005,3547,0.01763
"2005-12-09",2005,3434,-0.03224
"2005-12-16",2005,3472,0.01095
"2005-12-23",2005,3488,0.00464
"2005-12-30",2005,3545,0.016
"2006-01-06",2006,3609,0.01787
"2006-01-13",2006,3678,0.01911
"2006-01-20",2006,3700,0.00599
"2006-01-27",2006,3588,-0.03082
"2006-02-03",2006,3725,0.03746
"2006-02-10",2006,3611,-0.03111
"2006-02-17",2006,3712,0.02778
"2006-02-24",2006,3651,-0.01676
"2006-03-03",2006,3572,-0.02172
"2006-03-10",2006,3424,-0.04247
"2006-03-17",2006,3441,0.00487
"2006-03-24",2006,3457,0.00481
"2006-03-31",2006,3598,0.03982
"2006-04-07",2006,3577,-0.00584
"2006-04-14",2006,3602,0.00721
"2006-04-21",2006,3633,0.00833
"2006-04-28",2006,3511,-0.03401
"2006-05-05",2006,3467,-0.01265
"2006-05-12",2006,3389,-0.02291
"2006-05-19",2006,3350,-0.01156
"2006-05-26",2006,3401,0.01534
"2006-06-02",2006,3365,-0.01078
"2006-06-09",2006,3330,-0.01044
"2006-06-16",2006,3466,0.04001
"2006-06-23",2006,3400,-0.01924
"2006-06-30",2006,3204,-0.05918
"2006-07-07",2006,3272,0.021
"2006-07-14",2006,3251,-0.00655
"2006-07-21",2006,3206,-0.01381
"2006-07-28",2006,3155,-0.01634
"2006-08-04",2006,3191,0.01148
"2006-08-11",2006,3202,0.00338
"2006-08-18",2006,3303,0.03126
"2006-08-25",2006,3338,0.01053
"2006-09-01",2006,3421,0.02449
"2006-09-08",2006,3617,0.05562
"2006-09-15",2006,3768,0.04084
"2006-09-22",2006,3725,-0.01127
"2006-09-29",2006,3542,-0.05056
"2006-10-06",2006,3487,-0.01568
"2006-10-13",2006,3707,0.06128
"2006-10-20",2006,3717,0.00262
"2006-10-27",2006,3814,0.02573
"2006-11-03",2006,3658,-0.04161
"2006-11-10",2006,3545,-0.03138
"2006-11-17",2006,3568,0.00649
"2006-11-24",2006,3510,-0.01659
"2006-12-01",2006,3507,-0.00071
"2006-12-08",2006,3394,-0.03282
"2006-12-15",2006,3415,0.00636
"2006-12-22",2006,3461,0.01337
"2006-12-29",2006,3619,0.04451
"2007-01-05",2007,3509,-0.03097
"2007-01-12",2007,3392,-0.03369
"2007-01-19",2007,3407,0.00424
"2007-01-26",2007,3368,-0.01132
"2007-02-02",2007,3431,0.01828
"2007-02-09",2007,3417,-0.00405
"2007-02-16",2007,3385,-0.00945
"2007-02-23",2007,3574,0.05433
"2007-03-02",2007,3394,-0.05162
"2007-03-09",2007,3293,-0.03018
"2007-03-16",2007,3312,0.0057
"2007-03-23",2007,3235,-0.02356
"2007-03-30",2007,3275,0.0123
"2007-04-06",2007,3351,0.02298
"2007-04-13",2007,3365,0.00419
"2007-04-20",2007,3497,0.03862
"2007-04-27",2007,3533,0.0101
"2007-05-04",2007,3467,-0.01889
"2007-05-11",2007,3282,-0.0546
"2007-05-18",2007,3366,0.02511
"2007-05-25",2007,3388,0.00641
"2007-06-01",2007,3502,0.03331
"2007-06-08",2007,3473,-0.00841
"2007-06-15",2007,3651,0.05008
"2007-06-22",2007,3756,0.02819
"2007-06-29",2007,3486,-0.07451
"2007-07-06",2007,3537,0.01443
"2007-07-13",2007,3418,-0.03424
"2007-07-20",2007,3456,0.01114
"2007-07-27",2007,3476,0.00568
"2007-08-03",2007,3405,-0.02056
"2007-08-10",2007,3321,-0.02509
"2007-08-17",2007,3344,0.00705
"2007-08-24",2007,3364,0.00581
"2007-08-31",2007,3437,0.02161
"2007-09-07",2007,3371,-0.01952
"2007-09-14",2007,3317,-0.01614
"2007-09-21",2007,3419,0.03055
"2007-09-28",2007,3399,-0.0059
"2007-10-05",2007,3404,0.00138
"2007-10-12",2007,3493,0.02588
"2007-10-19",2007,3447,-0.01329
"2007-10-26",2007,3427,-0.00593
"2007-11-02",2007,3477,0.01456
"2007-11-09",2007,3392,-0.02483
"2007-11-16",2007,3377,-0.00429
"2007-11-23",2007,3309,-0.02058
"2007-11-30",2007,3405,0.02865
"2007-12-07",2007,3427,0.00655
"2007-12-14",2007,3433,0.00173
"2007-12-21",2007,3392,-0.01212
"2007-12-28",2007,3513,0.03511
"2008-01-04",2008,3558,0.01276
"2008-01-11",2008,3587,0.00814
"2008-01-18",2008,3697,0.03029
"2008-01-25",2008,3756,0.01574
"2008-02-01",2008,3831,0.01981
"2008-02-08",2008,3889,0.015
"2008-02-15",2008,3988,0.02501
"2008-02-22",2008,3914,-0.01872
"2008-02-29",2008,3945,0.00803
"2008-03-07",2008,3872,-0.01873
"2008-03-14",2008,3804,-0.01769
"2008-03-21",2008,3835,0.00797
"2008-03-28",2008,3809,-0.00668
"2008-04-04",2008,3800,-0.00245
"2008-04-11",2008,3825,0.00657
"2008-04-18",2008,3832,0.00189
"2008-04-25",2008,3828,-0.00099
"2008-05-02",2008,3882,0.01395
"2008-05-09",2008,3965,0.02105
"2008-05-16",2008,3976,0.00278
"2008-05-23",2008,3914,-0.01551
"2008-05-30",2008,3959,0.01121
"2008-06-06",2008,4063,0.02611
"2008-06-13",2008,4108,0.01084
"2008-06-20",2008,3984,-0.03041
"2008-06-27",2008,4035,0.01251
"2008-07-04",2008,4150,0.02816
"2008-07-11",2008,4388,0.05575
"2008-07-18",2008,4155,-0.05449
"2008-07-25",2008,4004,-0.03709
"2008-08-01",2008,3969,-0.00863
"2008-08-08",2008,4149,0.04414
"2008-08-15",2008,4226,0.0185
"2008-08-22",2008,4198,-0.00673
"2008-08-29",2008,4068,-0.03151
"2008-09-05",2008,3927,-0.03504
"2008-09-12",2008,3716,-0.05531
"2008-09-19",2008,3665,-0.01381
"2008-09-26",2008,3690,0.00672
"2008-10-03",2008,3754,0.01725
"2008-10-10",2008,3669,-0.02305
"2008-10-17",2008,3727,0.01583
"2008-10-24",2008,3745,0.00472
"2008-10-31",2008,3691,-0.01435
"2008-11-07",2008,3982,0.07582
"2008-11-14",2008,4077,0.02361
"2008-11-21",2008,4006,-0.01765
"2008-11-28",2008,4035,0.00722
"2008-12-05",2008,4149,0.02792
"2008-12-12",2008,4146,-0.00068
"2008-12-19",2008,3999,-0.03619
"2008-12-26",2008,3961,-0.00963
"2009-01-02",2009,3861,-0.02551
"2009-01-09",2009,3832,-0.00755
"2009-01-16",2009,3943,0.02858
"2009-01-23",2009,3986,0.01081
"2009-01-30",2009,3936,-0.01252
"2009-02-06",2009,3933,-0.00094
"2009-02-13",2009,4009,0.01934
"2009-02-20",2009,3878,-0.03337
"2009-02-27",2009,3939,0.01578
"2009-03-06",2009,3920,-0.00486
"2009-03-13",2009,4024,0.02622
"2009-03-20",2009,4197,0.04188
"2009-03-27",2009,4177,-0.00464
"2009-04-03",2009,4218,0.00978
"2009-04-10",2009,4194,-0.00569
"2009-04-17",2009,4150,-0.01072
"2009-04-24",2009,4067,-0.02002
"2009-05-01",2009,3991,-0.01902
"2009-05-08",2009,4081,0.0223
"2009-05-15",2009,4091,0.00254
"2009-05-22",2009,4226,0.03238
"2009-05-29",2009,4198,-0.00658
"2009-06-05",2009,4180,-0.00435
"2009-06-12",2009,4291,0.02621
"2009-06-19",2009,4309,0.00418
"2009-06-26",2009,4400,0.02087
"2009-07-03",2009,4495,0.02155
"2009-07-10",2009,4495,-1e-05
"2009-07-17",2009,4458,-0.00825
"2009-07-24",2009,4576,0.02598
"2009-07-31",2009,4663,0.01891
"2009-08-07",2009,4607,-0.01211
"2009-08-14",2009,4672,0.01392
"2009-08-21",2009,4645,-0.00577
"2009-08-28",2009,4593,-0.01126
"2009-09-04",2009,4836,0.05164
"2009-09-11",2009,4974,0.02809
"2009-09-18",2009,4851,-0.02503
"2009-09-25",2009,4622,-0.0483
"2009-10-02",2009,4718,0.02063
"2009-10-09",2009,4808,0.01881
"2009-10-16",2009,4850,0.0086
"2009-10-23",2009,4882,0.00664
"2009-10-30",2009,4817,-0.01337
"2009-11-06",2009,4965,0.03017
"2009-11-13",2009,4928,-0.00738
"2009-11-20",2009,4744,-0.03799
"2009-11-27",2009,4862,0.02446
"2009-12-04",2009,4777,-0.01759
"2009-12-11",2009,4715,-0.01313
"2009-12-18",2009,4826,0.02338
"2009-12-25",2009,4880,0.01103
"2010-01-01",2010,4410,-0.10128
"2010-01-08",2010,4271,-0.03199
"2010-01-15",2010,3819,-0.11196
"2010-01-22",2010,3987,0.04325
"2010-01-29",2010,4181,0.04733
"2010-02-05",2010,3740,-0.11136
"2010-02-12",2010,3765,0.00668
"2010-02-19",2010,3463,-0.08353
"2010-02-26",2010,3807,0.09452
"2010-03-05",2010,3688,-0.03162
"2010-03-12",2010,3628,-0.01642
"2010-03-19",2010,3650,0.00589
"2010-03-26",2010,3587,-0.0172
"2010-04-02",2010,3672,0.02326
"2010-04-09",2010,3334,-0.09643
"2010-04-16",2010,3531,0.05738
"2010-04-23",2010,3585,0.01524
"2010-04-30",2010,3482,-0.02914
"2010-05-07",2010,3328,-0.04531
"2010-05-14",2010,2898,-0.13836
"2010-05-21",2010,2506,-0.14543
"2010-05-28",2010,2270,-0.0989
"2010-06-04",2010,1940,-0.1569
"2010-06-11",2010,2098,0.0781
"2010-06-18",2010,2175,0.03594
"2010-06-25",2010,2066,-0.05119
"2010-07-02",2010,2120,0.02558
"2010-07-09",2010,2181,0.02841
"2010-07-16",2010,2357,0.07767
"2010-07-23",2010,2132,-0.10012
"2010-07-30",2010,2040,-0.04436
"2010-08-06",2010,2268,0.10617
"2010-08-13",2010,2058,-0.09752
"2010-08-20",2010,2121,0.0304
"2010-08-27",2010,2210,0.04109
"2010-09-03",2010,2205,-0.00221
"2010-09-10",2010,2045,-0.07561
"2010-09-17",2010,2076,0.01523
"2010-09-24",2010,2020,-0.02727
"2010-10-01",2010,1988,-0.01626
"2010-10-08",2010,2026,0.01924
"2010-10-15",2010,2004,-0.01099
"2010-10-22",2010,2013,0.00434
"2010-10-29",2010,2038,0.01232
"2010-11-05",2010,2073,0.01737
"2010-11-12",2010,2031,-0.02052
"2010-11-19",2010,2062,0.01487
"2010-11-26",2010,2127,0.03135
"2010-12-03",2010,2117,-0.00478
"2010-12-10",2010,2154,0.01717
"2010-12-17",2010,2194,0.01858
"2010-12-24",2010,2169,-0.01143
"2010-12-31",2010,2210,0.01845
"2011-01-07",2011,2178,-0.01426
"2011-01-14",2011,2167,-0.00536
"2011-01-21",2011,2112,-0.02547
"2011-01-28",2011,2114,0.00096
"2011-02-04",2011,2129,0.00689
"2011-02-11",2011,2119,-0.00459
"2011-02-18",2011,2050,-0.03338
"2011-02-25",2011,1980,-0.03429
"2011-03-04",2011,1996,0.00764
"2011-03-11",2011,2055,0.02908
"2011-03-18",2011,2079,0.01193
"2011-03-25",2011,2078,-0.00059
"2011-04-01",2011,2061,-0.008
"2011-04-08",2011,2106,0.02149
"2011-04-15",2011,2063,-0.02057
"2011-04-22",2011,2146,0.03928
"2011-04-29",2011,2074,-0.03418
"2011-05-06",2011,2032,-0.02056
"2011-05-13",2011,1943,-0.04467
"2011-05-20",2011,1903,-0.02086
"2011-05-27",2011,1853,-0.02633
"2011-06-03",2011,1855,0.00101
"2011-06-10",2011,1908,0.02788
"2011-06-17",2011,1889,-0.01002
"2011-06-24",2011,1841,-0.02534
"2011-07-01",2011,1792,-0.02702
"2011-07-08",2011,1804,0.00652
"2011-07-15",2011,1784,-0.01144
"2011-07-22",2011,1729,-0.03083
"2011-07-29",2011,1806,0.04309
"2011-08-05",2011,1793,-0.00682
"2011-08-12",2011,1897,0.05629
"2011-08-19",2011,2021,0.06338
"2011-08-26",2011,1972,-0.02491
"2011-09-02",2011,1981,0.00485
"2011-09-09",2011,1988,0.00342
"2011-09-16",2011,2080,0.04508
"2011-09-23",2011,2090,0.00513
"2011-09-30",2011,2053,-0.0182
"2011-10-07",2011,2009,-0.02135
"2011-10-14",2011,1995,-0.0071
"2011-10-21",2011,1975,-0.01001
"2011-10-28",2011,2001,0.0132
"2011-11-04",2011,2006,0.0021
"2011-11-11",2011,2078,0.03555
"2011-11-18",2011,2155,0.03609
"2011-11-25",2011,2133,-0.01
"2011-12-02",2011,2064,-0.0327
"2011-12-09",2011,2143,0.03727
"2011-12-16",2011,2195,0.02388
"2011-12-23",2011,2119,-0.03494
"2011-12-30",2011,2080,-0.01886
"2012-01-06",2012,2075,-0.00222
"2012-01-13",2012,2070,-0.00243
"2012-01-20",2012,2128,0.02762
"2012-01-27",2012,2192,0.02967
"2012-02-03",2012,2074,-0.05549
"2012-02-10",2012,2111,0.01803
"2012-02-17",2012,2089,-0.01071
"2012-02-24",2012,2130,0.01936
"2012-03-02",2012,2124,-0.00259
"2012-03-09",2012,2165,0.01888
"2012-03-16",2012,2195,0.01381
"2012-03-23",2012,2201,0.00281
"2012-03-30",2012,2172,-0.01327
"2012-04-06",2012,2190,0.00812
"2012-04-13",2012,2131,-0.02709
"2012-04-20",2012,2080,-0.02417
"2012-04-27",2012,2063,-0.00853
"2012-05-04",2012,2088,0.01208
"2012-05-11",2012,2098,0.00511
"2012-05-18",2012,2004,-0.04594
"2012-05-25",2012,1951,-0.02679
"2012-06-01",2012,2000,0.02449
"2012-06-08",2012,2067,0.03306
"2012-06-15",2012,1969,-0.04846
"2012-06-22",2012,1969,-9e-05
"2012-06-29",2012,1919,-0.02567
"2012-07-06",2012,1957,0.01963
"2012-07-13",2012,1970,0.00635
"2012-07-20",2012,2036,0.03332
"2012-07-27",2012,2034,-0.00126
"2012-08-03",2012,1948,-0.04286
"2012-08-10",2012,1942,-0.00355
"2012-08-17",2012,1940,-0.00074
"2012-08-24",2012,1949,0.00482
"2012-08-31",2012,1912,-0.0195
"2012-09-07",2012,1910,-0.00082
"2012-09-14",2012,1931,0.01099
"2012-09-21",2012,1965,0.01737
"2012-09-28",2012,1982,0.00861
"2012-10-05",2012,2005,0.0113
"2012-10-12",2012,1973,-0.01602
"2012-10-19",2012,1919,-0.02757
"2012-10-26",2012,1903,-0.0087
"2012-11-02",2012,1842,-0.03253
"2012-11-09",2012,1809,-0.01815
"2012-11-16",2012,1786,-0.0126
"2012-11-23",2012,1761,-0.01421
"2012-11-30",2012,1816,0.03106
"2012-12-07",2012,1810,-0.00346
"2012-12-14",2012,1821,0.00631
"2012-12-21",2012,1794,-0.01505
"2012-12-28",2012,1828,0.01868
"2013-01-04",2013,1831,0.00173
"2013-01-11",2013,1807,-0.01314
"2013-01-18",2013,1745,-0.03526
"2013-01-25",2013,1796,0.0287
"2013-02-01",2013,1807,0.00617
"2013-02-08",2013,1795,-0.00652
"2013-02-15",2013,1832,0.0202
"2013-02-22",2013,1852,0.01125
"2013-03-01",2013,1924,0.03819
"2013-03-08",2013,1895,-0.01558
"2013-03-15",2013,1900,0.00298
"2013-03-22",2013,1885,-0.00813
"2013-03-29",2013,1855,-0.01598
"2013-04-05",2013,1775,-0.04429
"2013-04-12",2013,1725,-0.02822
"2013-04-19",2013,1731,0.00303
"2013-04-26",2013,1725,-0.00301
"2013-05-03",2013,1722,-0.00172
"2013-05-10",2013,1800,0.04394
"2013-05-17",2013,1706,-0.05342
"2013-05-24",2013,1721,0.00868
"2013-05-31",2013,1682,-0.02267
"2013-06-07",2013,1708,0.0149
"2013-06-14",2013,1744,0.021
"2013-06-21",2013,1672,-0.04185
"2013-06-28",2013,1725,0.03092
"2013-07-05",2013,1730,0.00275
"2013-07-12",2013,1710,-0.01165
"2013-07-19",2013,1758,0.02801
"2013-07-26",2013,1738,-0.0114
"2013-08-02",2013,1719,-0.01109
"2013-08-09",2013,1736,0.01
"2013-08-16",2013,1733,-0.00201
"2013-08-23",2013,1704,-0.01677
"2013-08-30",2013,1665,-0.02327
"2013-09-06",2013,1763,0.05727
"2013-09-13",2013,1773,0.00583
"2013-09-20",2013,1738,-0.02013
"2013-09-27",2013,1702,-0.02065
