"date","year","month","stopa"
"2018-03-01",2018,3,5.1
"2018-04-01",2018,4,4.42
"2018-05-01",2018,5,4.01
"2018-06-01",2018,6,3.61
"2018-07-01",2018,7,3.79
"2018-08-01",2018,8,3.5
"2018-09-01",2018,9,3.33
"2018-10-01",2018,10,3.62
"2018-11-01",2018,11,4.21
"2018-12-01",2018,12,4.21
"2019-01-01",2019,1,4
"2019-02-01",2019,2,3.73
"2019-03-01",2019,3,3.1
"2019-04-01",2019,4,2.5
"2019-05-01",2019,5,2.27
"2019-06-01",2019,6,2.31
"2019-07-01",2019,7,2.43
"2019-08-01",2019,8,2.39
"2019-09-01",2019,9,2.35
"2019-10-01",2019,10,2.85
"2019-11-01",2019,11,3.2
"2019-12-01",2019,12,3.31
"2020-01-01",2020,1,15.83
"2020-02-01",2020,2,15.8
"2020-03-01",2020,3,15.58
"2020-04-01",2020,4,15.04
"2020-05-01",2020,5,15.17
"2020-06-01",2020,6,15.12
"2020-07-01",2020,7,15.33
"2020-08-01",2020,8,15.57
"2020-09-01",2020,9,15.87
"2020-10-01",2020,10,16.33
"2020-11-01",2020,11,16.81
"2020-12-01",2020,12,17.28
"2021-01-01",2021,1,17.75
"2021-02-01",2021,2,17.37
"2021-03-01",2021,3,16.85
"2021-04-01",2021,4,16.78
"2021-05-01",2021,5,16.76
"2021-06-01",2021,6,16.56
"2021-07-01",2021,7,16.99
"2021-08-01",2021,8,17.1
"2021-09-01",2021,9,17.6
"2021-10-01",2021,10,18.06
"2021-11-01",2021,11,18.94
"2021-12-01",2021,12,19.18
"2022-01-01",2022,1,19.21
"2022-02-01",2022,2,19.18
"2022-03-01",2022,3,18.83
"2022-04-01",2022,4,18.43
"2022-05-01",2022,5,18.31
"2022-06-01",2022,6,18.44
"2022-07-01",2022,7,18.88
"2022-08-01",2022,8,18.99
"2022-09-01",2022,9,19.33
"2022-10-01",2022,10,19.66
"2022-11-01",2022,11,20.35
"2022-12-01",2022,12,20.35
"2023-01-01",2023,1,20.49
"2023-02-01",2023,2,20.32
"2023-03-01",2023,3,19.9
"2023-04-01",2023,4,19.44
"2023-05-01",2023,5,19.07
"2023-06-01",2023,6,18.66
"2023-07-01",2023,7,18.86
"2023-08-01",2023,8,18.78
"2023-09-01",2023,9,18.82
"2023-10-01",2023,10,18.97
"2023-11-01",2023,11,19.42
"2023-12-01",2023,12,19.51
