"date","year","month","sprzedaz"
"2013-08-01",2013,8,58
"2013-09-01",2013,9,52.2
"2013-10-01",2013,10,57.2
"2013-11-01",2013,11,63.3
"2013-12-01",2013,12,80.7
"2014-01-01",2014,1,43.9
"2014-02-01",2014,2,42
"2014-03-01",2014,3,53
"2014-04-01",2014,4,52.1
"2014-05-01",2014,5,55.5
"2014-06-01",2014,6,57.5
"2014-07-01",2014,7,58.9
"2014-08-01",2014,8,60.5
"2014-09-01",2014,9,60.8
"2014-10-01",2014,10,61.9
"2014-11-01",2014,11,63.4
"2014-12-01",2014,12,85.9
"2015-01-01",2015,1,45.2
"2015-02-01",2015,2,44.8
"2015-03-01",2015,3,54.4
"2015-04-01",2015,4,55.2
"2015-05-01",2015,5,56.9
"2015-06-01",2015,6,61.6
"2015-07-01",2015,7,63.1
"2015-08-01",2015,8,63.6
"2015-09-01",2015,9,62.5
"2015-10-01",2015,10,65.6
"2015-11-01",2015,11,67.5
"2015-12-01",2015,12,92.7
"2016-01-01",2016,1,50
"2016-02-01",2016,2,46.4
"2016-03-01",2016,3,58.8
"2016-04-01",2016,4,60
"2016-05-01",2016,5,62.3
"2016-06-01",2016,6,64.8
"2016-07-01",2016,7,68.3
"2016-08-01",2016,8,65.8
"2016-09-01",2016,9,64.3
"2016-10-01",2016,10,66.9
"2016-11-01",2016,11,73.7
"2016-12-01",2016,12,96.9
"2017-01-01",2017,1,55.4
"2017-02-01",2017,2,50
"2017-03-01",2017,3,59
"2017-04-01",2017,4,60.5
"2017-05-01",2017,5,64.2
"2017-06-01",2017,6,69.5
"2017-07-01",2017,7,71.5
"2017-08-01",2017,8,72.2
"2017-09-01",2017,9,66.7
"2017-10-01",2017,10,75.7
"2017-11-01",2017,11,75.5
"2017-12-01",2017,12,102.5
"2018-01-01",2018,1,53
"2018-02-01",2018,2,52.2
"2018-03-01",2018,3,62.5
"2018-04-01",2018,4,68.2
"2018-05-01",2018,5,70
"2018-06-01",2018,6,75.4
"2018-07-01",2018,7,76.7
"2018-08-01",2018,8,75.7
"2018-09-01",2018,9,73.6
"2018-10-01",2018,10,75.4
"2018-11-01",2018,11,78.7
"2018-12-01",2018,12,106.4
"2019-01-01",2019,1,56.9
"2019-02-01",2019,2,58
"2019-03-01",2019,3,64.8
"2019-04-01",2019,4,70.7
"2019-05-01",2019,5,74.5
"2019-06-01",2019,6,77.8
"2019-07-01",2019,7,77.1
"2019-08-01",2019,8,81.9
"2019-09-01",2019,9,77.8
"2019-10-01",2019,10,75.3
"2019-11-01",2019,11,84.2
"2019-12-01",2019,12,114.3
"2020-01-01",2020,1,62.4
"2020-02-01",2020,2,58.7
"2020-03-01",2020,3,68.8
"2020-04-01",2020,4,73.2
"2020-05-01",2020,5,75.7
"2020-06-01",2020,6,79
"2020-07-01",2020,7,81.1
"2020-08-01",2020,8,84.8
"2020-09-01",2020,9,79.5
"2020-10-01",2020,10,83.8
"2020-11-01",2020,11,87.1
"2020-12-01",2020,12,115.3
"2021-01-01",2021,1,63
"2021-02-01",2021,2,59.2
"2021-03-01",2021,3,70.8
"2021-04-01",2021,4,76.9
"2021-05-01",2021,5,84.6
"2021-06-01",2021,6,83
"2021-07-01",2021,7,86.7
"2021-08-01",2021,8,83.4
"2021-09-01",2021,9,83.6
"2021-10-01",2021,10,87.5
"2021-11-01",2021,11,92.5
"2021-12-01",2021,12,120
"2022-01-01",2022,1,65.1
"2022-02-01",2022,2,61.8
"2022-03-01",2022,3,71.9
"2022-04-01",2022,4,76.3
"2022-05-01",2022,5,82.6
"2022-06-01",2022,6,84.9
"2022-07-01",2022,7,90.4
"2022-08-01",2022,8,90.8
"2022-09-01",2022,9,85
"2022-10-01",2022,10,89.4
"2022-11-01",2022,11,95.5
"2022-12-01",2022,12,129.6
"2023-01-01",2023,1,68.2
"2023-02-01",2023,2,66.2
"2023-03-01",2023,3,79.3
"2023-04-01",2023,4,83.8
"2023-05-01",2023,5,88.3
"2023-06-01",2023,6,92.3
"2023-07-01",2023,7,90.8
"2023-08-01",2023,8,95
"2023-09-01",2023,9,89.5
"2023-10-01",2023,10,95.6
"2023-11-01",2023,11,99.9
"2023-12-01",2023,12,133.6
