"date","year","month","cena_pln"
"2016-09-01",2016,9,100
"2016-10-01",2016,10,99.2
"2016-11-01",2016,11,96.3
"2016-12-01",2016,12,92.7
"2017-01-01",2017,1,99.2
"2017-02-01",2017,2,100.7
"2017-03-01",2017,3,105.1
"2017-04-01",2017,4,106.9
"2017-05-01",2017,5,109.7
"2017-06-01",2017,6,124.1
"2017-07-01",2017,7,167.7
"2017-08-01",2017,8,210.3
"2017-09-01",2017,9,244.3
"2017-10-01",2017,10,287.8
"2017-11-01",2017,11,296.2
"2017-12-01",2017,12,311.8
"2018-01-01",2018,1,307.9
"2018-02-01",2018,2,293.6
"2018-03-01",2018,3,279.3
"2018-04-01",2018,4,271.1
"2018-05-01",2018,5,250.9
"2018-06-01",2018,6,227.3
"2018-07-01",2018,7,234.4
"2018-08-01",2018,8,256.6
"2018-09-01",2018,9,256
"2018-10-01",2018,10,247.6
"2018-11-01",2018,11,234.3
"2018-12-01",2018,12,218.5
"2019-01-01",2019,1,224.5
"2019-02-01",2019,2,217
"2019-03-01",2019,3,202.9
"2019-04-01",2019,4,193.5
"2019-05-01",2019,5,184.7
"2019-06-01",2019,6,168.5
"2019-07-01",2019,7,176.7
"2019-08-01",2019,8,196.6
"2019-09-01",2019,9,196.5
"2019-10-01",2019,10,182.5
"2019-11-01",2019,11,183.4
"2019-12-01",2019,12,175.6
"2020-01-01",2020,1,52.3
"2020-02-01",2020,2,53.9
"2020-03-01",2020,3,54.2
"2020-04-01",2020,4,50.2
"2020-05-01",2020,5,41.9
"2020-06-01",2020,6,47.4
"2020-07-01",2020,7,53
"2020-08-01",2020,8,62.1
"2020-09-01",2020,9,66.3
"2020-10-01",2020,10,61.2
"2020-11-01",2020,11,58.8
"2020-12-01",2020,12,59.5
"2021-01-01",2021,1,65.1
"2021-02-01",2021,2,67.7
"2021-03-01",2021,3,68.6
"2021-04-01",2021,4,56.4
"2021-05-01",2021,5,47.9
"2021-06-01",2021,6,52.6
"2021-07-01",2021,7,50.9
"2021-08-01",2021,8,54.2
"2021-09-01",2021,9,59.6
"2021-10-01",2021,10,60.6
"2021-11-01",2021,11,62.1
"2021-12-01",2021,12,59.4
"2022-01-01",2022,1,58.4
"2022-02-01",2022,2,61.4
"2022-03-01",2022,3,56.7
"2022-04-01",2022,4,51.2
"2022-05-01",2022,5,49.7
"2022-06-01",2022,6,45
"2022-07-01",2022,7,37
"2022-08-01",2022,8,49.5
"2022-09-01",2022,9,54.2
"2022-10-01",2022,10,52.5
"2022-11-01",2022,11,44.8
"2022-12-01",2022,12,44.2
"2023-01-01",2023,1,49.8
"2023-02-01",2023,2,48.9
"2023-03-01",2023,3,51.2
"2023-04-01",2023,4,58
"2023-05-01",2023,5,55
"2023-06-01",2023,6,50.9
"2023-07-01",2023,7,52.5
"2023-08-01",2023,8,64
"2023-09-01",2023,9,67.9
"2023-10-01",2023,10,64.1
"2023-11-01",2023,11,60.6
"2023-12-01",2023,12,61.4
