"id","linia","dostawca","zawartosc_bialka","zawartosc_tluszczu","temperatura_proc","czas_procesu_min","bialko_ponizej_normy","tluszcz_powyzej_normy"
93,"C","krajowy",26.71,2.979,75.4,43,FALSE,FALSE
94,"A","krajowy",26.54,3.167,70.4,53,FALSE,TRUE
95,"A","importowany",27.75,2.791,84.3,48,FALSE,FALSE
96,"A","importowany",28.75,3.007,81,46,FALSE,TRUE
97,"C","lokalny",25.94,2.86,83.4,45,TRUE,FALSE
98,"B","lokalny",25.65,2.793,78.9,29,TRUE,FALSE
99,"A","lokalny",24.93,2.586,71.2,43,TRUE,FALSE
100,"A","krajowy",28.23,2.359,75.9,39,FALSE,FALSE
101,"A","krajowy",27.5,2.43,79.5,44,FALSE,FALSE
102,"C","lokalny",23.12,3.409,66.3,47,TRUE,TRUE
103,"C","importowany",25.36,2.735,72.9,42,TRUE,FALSE
104,"A","lokalny",25.47,2.279,77.7,47,TRUE,FALSE
105,"B","lokalny",26.07,2.636,73.7,50,FALSE,FALSE
106,"C","lokalny",23.7,2.783,74.7,61,TRUE,FALSE
107,"A","lokalny",26.59,2.845,77.7,55,FALSE,FALSE
108,"B","importowany",27.98,2.667,72.8,55,FALSE,FALSE
109,"C","lokalny",26.55,2.99,74.1,52,FALSE,FALSE
110,"B","lokalny",26.72,2.638,84.2,46,FALSE,FALSE
111,"B","krajowy",27.31,2.708,76.1,40,FALSE,FALSE
112,"A","krajowy",27.54,2.833,86.3,44,FALSE,FALSE
113,"A","krajowy",28.88,2.902,77.9,60,FALSE,FALSE
114,"A","krajowy",27.75,2.543,88.1,46,FALSE,FALSE
115,"B","importowany",28.28,3.134,76.4,42,FALSE,TRUE
116,"A","lokalny",24.41,2.952,71.8,45,TRUE,FALSE
117,"B","krajowy",27.62,2.609,78.8,39,FALSE,FALSE
118,"A","importowany",27.68,2.524,78.4,48,FALSE,FALSE
119,"A","krajowy",26.59,2.859,79.7,44,FALSE,FALSE
120,"C","krajowy",25.4,2.777,78.4,41,TRUE,FALSE
121,"B","lokalny",26.44,2.451,74,26,FALSE,FALSE
122,"C","krajowy",28.4,2.627,78.4,47,FALSE,FALSE
123,"B","lokalny",27.07,2.768,70.3,51,FALSE,FALSE
124,"A","lokalny",26.21,2.859,74.7,40,FALSE,FALSE
125,"B","krajowy",27.67,2.553,85.9,49,FALSE,FALSE
126,"B","importowany",28.13,3,77,49,FALSE,FALSE
127,"A","importowany",28.48,2.315,77,44,FALSE,FALSE
128,"B","krajowy",25.49,2.526,82,45,TRUE,FALSE
129,"B","importowany",27.48,2.7,90.5,39,FALSE,FALSE
130,"A","krajowy",28.29,2.743,80.5,46,FALSE,FALSE
131,"A","lokalny",28.66,2.418,76.3,36,FALSE,FALSE
132,"A","krajowy",26.19,2.766,81.7,54,FALSE,FALSE
133,"A","importowany",28.31,2.597,76,49,FALSE,FALSE
134,"A","krajowy",27.14,2.553,77.9,40,FALSE,FALSE
135,"B","krajowy",28.4,2.341,65.7,46,FALSE,FALSE
136,"A","krajowy",27.01,2.638,73.6,50,FALSE,FALSE
137,"A","lokalny",25.84,2.645,79.4,44,TRUE,FALSE
138,"A","lokalny",25.99,2.928,72,46,TRUE,FALSE
139,"B","importowany",25.06,2.251,75.4,32,TRUE,FALSE
140,"C","lokalny",27.04,3.381,75.8,38,FALSE,TRUE
141,"A","krajowy",28.73,2.616,76.2,47,FALSE,FALSE
142,"C","lokalny",24.71,3.179,73.3,48,TRUE,TRUE
143,"B","lokalny",27.21,2.745,75.1,38,FALSE,FALSE
144,"C","lokalny",26.61,3.125,82.1,45,FALSE,TRUE
145,"B","krajowy",25.18,2.773,75.5,34,TRUE,FALSE
146,"B","lokalny",23.82,2.592,88.8,50,TRUE,FALSE
147,"A","lokalny",26.99,2.572,72.9,34,FALSE,FALSE
148,"B","importowany",26.19,2.408,78.5,55,FALSE,FALSE
149,"C","importowany",27.88,3.042,80.9,55,FALSE,TRUE
150,"C","krajowy",25.4,2.654,81.9,54,TRUE,FALSE
151,"B","krajowy",25.49,2.673,77.3,27,TRUE,FALSE
152,"A","krajowy",28.67,2.564,85.1,39,FALSE,FALSE
153,"A","lokalny",26.68,2.728,77.9,61,FALSE,FALSE
154,"C","lokalny",25.12,3.199,73.7,42,TRUE,TRUE
155,"C","krajowy",25.84,2.577,80.4,25,TRUE,FALSE
156,"A","krajowy",27.55,2.757,79.7,40,FALSE,FALSE
157,"C","krajowy",27.03,2.852,67.4,40,FALSE,FALSE
158,"B","lokalny",27.07,2.793,75.9,46,FALSE,FALSE
159,"A","lokalny",26.95,2.461,76.3,50,FALSE,FALSE
160,"B","lokalny",24.42,2.391,78.6,29,TRUE,FALSE
161,"B","lokalny",24.43,2.765,82.8,49,TRUE,FALSE
162,"A","importowany",27.21,2.755,69.6,47,FALSE,FALSE
163,"A","krajowy",28.96,2.821,77.8,44,FALSE,FALSE
164,"B","importowany",28.46,2.458,63,43,FALSE,FALSE
165,"B","lokalny",27.25,2.284,75.9,54,FALSE,FALSE
166,"B","krajowy",26.93,3.034,78.7,53,FALSE,TRUE
167,"A","krajowy",28.24,2.648,75.8,42,FALSE,FALSE
168,"A","lokalny",25.26,2.695,79.4,49,TRUE,FALSE
169,"C","lokalny",25.72,2.945,82.6,43,TRUE,FALSE
170,"A","importowany",29.59,2.597,79.3,51,FALSE,FALSE
171,"A","krajowy",25.88,2.371,76,51,TRUE,FALSE
172,"A","krajowy",28.95,2.725,76.2,41,FALSE,FALSE
173,"A","krajowy",27.51,2.529,75.7,53,FALSE,FALSE
174,"B","lokalny",27.13,2.586,78.9,49,FALSE,FALSE
175,"B","lokalny",25.83,3.024,76.1,46,TRUE,TRUE
176,"A","krajowy",27.86,2.715,84,46,FALSE,FALSE
177,"C","krajowy",26.71,2.657,70.9,39,FALSE,FALSE
178,"C","krajowy",25.59,2.767,76.3,41,TRUE,FALSE
179,"A","krajowy",26.46,2.62,77.6,41,FALSE,FALSE
180,"B","lokalny",26.2,3.109,77.7,59,FALSE,TRUE
181,"B","krajowy",27.6,2.771,77.9,49,FALSE,FALSE
182,"B","importowany",28.97,2.72,79.3,48,FALSE,FALSE
183,"C","importowany",27.35,2.96,81.1,45,FALSE,FALSE
184,"C","krajowy",26.26,2.93,77.5,35,FALSE,FALSE
185,"C","krajowy",26.34,2.794,69.6,50,FALSE,FALSE
186,"B","krajowy",27.03,2.629,75.5,36,FALSE,FALSE
187,"C","lokalny",25.66,3.114,78.1,37,TRUE,TRUE
188,"C","importowany",27.5,2.801,81.2,42,FALSE,FALSE
189,"B","lokalny",26.32,2.29,67.3,35,FALSE,FALSE
190,"B","krajowy",26.82,3.037,76.8,37,FALSE,TRUE
191,"B","lokalny",24.73,2.701,81.7,54,TRUE,FALSE
192,"C","importowany",27.33,3.13,75.2,39,FALSE,TRUE
193,"A","importowany",28.36,2.616,78.9,40,FALSE,FALSE
194,"A","lokalny",28.23,2.958,74.2,31,FALSE,FALSE
195,"A","lokalny",26.32,2.804,82.3,46,FALSE,FALSE
196,"A","importowany",27.2,2.977,70.2,49,FALSE,FALSE
197,"C","krajowy",23.87,3.188,73,46,TRUE,TRUE
198,"A","importowany",28.08,2.836,76.7,45,FALSE,FALSE
199,"B","krajowy",24.27,2.165,76.8,48,TRUE,FALSE
200,"C","lokalny",24.52,2.812,70.5,46,TRUE,FALSE
201,"C","lokalny",23.43,2.592,80.5,35,TRUE,FALSE
202,"C","lokalny",25.26,2.694,72.2,29,TRUE,FALSE
203,"C","lokalny",26.61,2.849,79.9,44,FALSE,FALSE
204,"C","lokalny",26.48,2.931,86,59,FALSE,FALSE
205,"B","lokalny",25.03,2.65,90.3,51,TRUE,FALSE
206,"C","lokalny",25.94,3.278,73.5,43,TRUE,TRUE
207,"B","krajowy",26.12,2.73,80.8,31,FALSE,FALSE
208,"B","lokalny",26.86,3.04,72.4,36,FALSE,TRUE
209,"A","lokalny",25.88,2.786,81.4,42,TRUE,FALSE
210,"B","krajowy",27.55,2.653,78.9,50,FALSE,FALSE
211,"B","importowany",26.82,2.765,71.3,44,FALSE,FALSE
212,"B","krajowy",27.07,2.274,70.8,43,FALSE,FALSE
213,"A","krajowy",26.26,3.001,79.3,42,FALSE,TRUE
214,"A","krajowy",26.7,2.694,79.4,37,FALSE,FALSE
215,"A","importowany",29.11,2.94,79.3,44,FALSE,FALSE
216,"B","krajowy",28.52,2.813,74.3,45,FALSE,FALSE
217,"B","lokalny",26.19,2.72,80.4,45,FALSE,FALSE
218,"B","krajowy",27.57,2.687,85.8,41,FALSE,FALSE
219,"A","krajowy",28.05,2.941,79.1,37,FALSE,FALSE
220,"B","importowany",27.01,2.698,75.1,49,FALSE,FALSE
221,"B","krajowy",25.46,2.612,77.7,48,TRUE,FALSE
222,"B","importowany",28.25,2.95,75.6,29,FALSE,FALSE
223,"B","lokalny",26.18,2.695,68.6,52,FALSE,FALSE
224,"B","lokalny",26.21,2.696,82.4,34,FALSE,FALSE
225,"C","lokalny",25.27,3.112,65.3,30,TRUE,TRUE
226,"A","krajowy",25.59,2.877,82,28,TRUE,FALSE
227,"B","lokalny",27.7,2.756,76.3,62,FALSE,FALSE
228,"C","krajowy",26.06,3.033,72.6,39,FALSE,TRUE
229,"A","importowany",29.13,2.854,74,54,FALSE,FALSE
230,"A","lokalny",25.6,2.839,80.6,44,TRUE,FALSE
231,"A","lokalny",27.03,2.364,86.6,49,FALSE,FALSE
232,"A","krajowy",26.92,2.847,78.9,49,FALSE,FALSE
233,"C","krajowy",27.16,2.905,83.2,31,FALSE,FALSE
234,"B","krajowy",27.76,2.379,79.4,31,FALSE,FALSE
235,"C","krajowy",26.8,2.615,71.8,53,FALSE,FALSE
236,"A","krajowy",26.66,2.467,83.5,41,FALSE,FALSE
237,"B","importowany",27.41,3.041,79.2,32,FALSE,TRUE
238,"B","lokalny",25.7,2.88,81.5,50,TRUE,FALSE
239,"A","lokalny",25.9,2.655,71.6,40,TRUE,FALSE
240,"C","importowany",27.16,3.123,75.9,62,FALSE,TRUE
241,"A","importowany",28.02,2.688,75.1,58,FALSE,FALSE
242,"B","lokalny",26.81,2.195,78.9,46,FALSE,FALSE
243,"A","lokalny",26.62,2.782,84,40,FALSE,FALSE
244,"A","lokalny",25.74,2.748,73.5,52,TRUE,FALSE
245,"B","krajowy",27.48,2.835,73,48,FALSE,FALSE
246,"B","krajowy",27.46,2.55,72.7,44,FALSE,FALSE
247,"C","krajowy",26.04,3.132,83.3,57,FALSE,TRUE
248,"A","krajowy",27.57,2.638,78.7,38,FALSE,FALSE
249,"C","krajowy",26.42,2.811,79.4,45,FALSE,FALSE
250,"B","importowany",27.57,2.433,76.5,30,FALSE,FALSE
251,"B","krajowy",26.43,2.797,75.8,40,FALSE,FALSE
252,"B","lokalny",25.01,2.436,81.2,48,TRUE,FALSE
253,"A","importowany",27.69,2.579,77.3,52,FALSE,FALSE
254,"C","krajowy",25.74,3.381,79.4,44,TRUE,TRUE
255,"C","krajowy",25.56,2.658,70.4,42,TRUE,FALSE
256,"C","importowany",27.29,2.957,86.1,40,FALSE,FALSE
257,"A","importowany",28.13,2.868,83.2,47,FALSE,FALSE
258,"B","lokalny",26.95,2.822,85.6,48,FALSE,FALSE
259,"A","importowany",28.23,2.582,80,49,FALSE,FALSE
260,"A","lokalny",27.2,2.751,78.7,39,FALSE,FALSE
261,"A","lokalny",25.84,2.698,78.9,42,TRUE,FALSE
262,"C","krajowy",24.39,2.916,78.7,59,TRUE,FALSE
263,"A","krajowy",28.12,2.732,77.4,38,FALSE,FALSE
264,"B","lokalny",24.09,2.35,75.3,41,TRUE,FALSE
265,"A","krajowy",28.3,3.125,79.1,55,FALSE,TRUE
266,"A","krajowy",26.81,2.883,76.6,36,FALSE,FALSE
267,"C","lokalny",26.93,3.169,81.3,49,FALSE,TRUE
268,"A","lokalny",27.06,2.836,77.9,54,FALSE,FALSE
269,"C","lokalny",24.49,3.277,76.4,38,TRUE,TRUE
270,"C","krajowy",26.36,2.871,78.8,49,FALSE,FALSE
271,"B","importowany",26.84,2.63,78.3,47,FALSE,FALSE
272,"A","krajowy",24.46,2.653,75.1,37,TRUE,FALSE
273,"C","importowany",28.57,3.186,78.5,37,FALSE,TRUE
274,"A","krajowy",27.07,2.826,77.8,37,FALSE,FALSE
275,"C","importowany",27.54,2.952,81.3,56,FALSE,FALSE
276,"B","krajowy",25.15,2.776,78.6,30,TRUE,FALSE
277,"B","importowany",28.22,2.91,77,49,FALSE,FALSE
278,"A","krajowy",26.36,2.41,80.4,46,FALSE,FALSE
279,"A","lokalny",26.25,2.434,82.3,41,FALSE,FALSE
280,"C","lokalny",24.3,2.678,80.1,46,TRUE,FALSE
281,"C","importowany",27.59,3.199,75.9,46,FALSE,TRUE
282,"B","krajowy",26.84,3.196,73.6,48,FALSE,TRUE
283,"C","krajowy",26.52,2.901,71.8,49,FALSE,FALSE
284,"B","lokalny",29.16,2.524,81.2,56,FALSE,FALSE
285,"A","lokalny",26.54,2.886,75,44,FALSE,FALSE
286,"A","krajowy",26.58,2.37,84.1,54,FALSE,FALSE
287,"A","lokalny",26.39,2.567,81.6,59,FALSE,FALSE
288,"B","krajowy",25.21,3.078,75.3,52,TRUE,TRUE
289,"A","lokalny",26.45,2.497,78.5,34,FALSE,FALSE
290,"A","importowany",27.19,2.582,87.1,51,FALSE,FALSE
291,"C","krajowy",26.23,2.63,80,35,FALSE,FALSE
292,"C","lokalny",26.68,3.044,82.9,35,FALSE,TRUE
293,"C","importowany",27.08,2.774,76.9,35,FALSE,FALSE
294,"C","importowany",27.7,2.966,82,36,FALSE,FALSE
295,"B","lokalny",26.27,2.972,79.3,37,FALSE,FALSE
296,"B","lokalny",28.53,3.095,89.9,63,FALSE,TRUE
297,"A","krajowy",28.66,2.892,74.8,39,FALSE,FALSE
298,"B","lokalny",26.5,2.742,75.8,25,FALSE,FALSE
299,"A","importowany",26.74,2.789,77.4,38,FALSE,FALSE
300,"C","krajowy",28.53,2.806,78.1,37,FALSE,FALSE
301,"B","krajowy",28.12,2.314,78.1,58,FALSE,FALSE
302,"A","krajowy",27.12,2.371,75.8,42,FALSE,FALSE
303,"B","krajowy",26.66,2.642,81.9,38,FALSE,FALSE
304,"C","krajowy",25.38,3.004,81.9,42,TRUE,TRUE
305,"A","lokalny",26.53,2.548,82.3,57,FALSE,FALSE
306,"A","lokalny",27.77,2.876,72.5,45,FALSE,FALSE
307,"B","krajowy",25.94,2.877,75.9,48,TRUE,FALSE
308,"C","krajowy",26.04,2.95,79.6,43,FALSE,FALSE
309,"B","krajowy",27.19,2.92,75.6,47,FALSE,FALSE
310,"A","krajowy",28.13,2.831,78.8,54,FALSE,FALSE
311,"B","importowany",27.81,2.992,76.5,42,FALSE,FALSE
312,"B","krajowy",27.7,3.142,84.7,42,FALSE,TRUE
313,"B","lokalny",24.84,2.448,79.7,42,TRUE,FALSE
314,"B","krajowy",27.14,2.862,74.7,43,FALSE,FALSE
315,"A","krajowy",28.01,2.604,80.8,47,FALSE,FALSE
316,"C","importowany",26.09,3.064,80.6,46,FALSE,TRUE
317,"A","krajowy",25.17,2.669,73.4,49,TRUE,FALSE
318,"C","lokalny",24.35,2.594,79.5,36,TRUE,FALSE
319,"C","lokalny",25.92,2.796,78.1,37,TRUE,FALSE
320,"C","lokalny",24.88,2.646,86.6,57,TRUE,FALSE
321,"C","lokalny",25.69,2.675,71.2,46,TRUE,FALSE
322,"B","krajowy",26.36,2.215,76.7,52,FALSE,FALSE
323,"B","krajowy",24.69,2.67,94.8,64,TRUE,FALSE
324,"B","krajowy",24.7,2.389,74.7,60,TRUE,FALSE
325,"C","lokalny",24.08,2.885,73.1,50,TRUE,FALSE
326,"A","krajowy",26.29,2.692,80.1,52,FALSE,FALSE
327,"B","krajowy",26.8,2.66,72.2,42,FALSE,FALSE
328,"A","lokalny",24.27,2.538,85.8,38,TRUE,FALSE
329,"B","krajowy",28.36,2.627,75.6,41,FALSE,FALSE
330,"A","lokalny",23.62,2.551,82.5,43,TRUE,FALSE
331,"C","krajowy",26.59,3.009,80.8,42,FALSE,TRUE
332,"A","importowany",26.36,2.359,78.1,37,FALSE,FALSE
333,"A","krajowy",28.38,2.981,77.3,52,FALSE,FALSE
334,"A","krajowy",27.61,2.42,70.5,45,FALSE,FALSE
335,"C","lokalny",25.8,2.819,72.6,60,TRUE,FALSE
336,"C","krajowy",25.94,2.95,72.2,42,TRUE,FALSE
337,"A","importowany",30.46,2.44,77.1,44,FALSE,FALSE
338,"A","krajowy",26.31,2.627,86.3,45,FALSE,FALSE
339,"A","lokalny",26.78,3.022,79.2,62,FALSE,TRUE
340,"A","lokalny",26.39,2.708,83,52,FALSE,FALSE
341,"A","lokalny",28.56,2.777,75.5,49,FALSE,FALSE
342,"B","lokalny",25.28,2.917,75.2,55,TRUE,FALSE
343,"A","krajowy",28.76,2.808,80.8,61,FALSE,FALSE
344,"A","lokalny",26.54,2.719,74.4,49,FALSE,FALSE
345,"A","lokalny",26.16,2.802,72.3,59,FALSE,FALSE
346,"B","krajowy",28.66,2.686,76.8,58,FALSE,FALSE
347,"C","lokalny",27.14,3.106,74.8,48,FALSE,TRUE
348,"B","krajowy",26.23,2.576,71.7,48,FALSE,FALSE
349,"C","lokalny",25.05,2.818,83.3,55,TRUE,FALSE
350,"A","lokalny",25.18,2.958,76.6,45,TRUE,FALSE
