"date","year","month","cena_pln","data_origin"
"2003-05-01",2003,5,55.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-06-01",2003,6,49.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-07-01",2003,7,56.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-08-01",2003,8,63.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-09-01",2003,9,71,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-10-01",2003,10,60.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-11-01",2003,11,62.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-12-01",2003,12,61.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-01-01",2004,1,63.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-02-01",2004,2,61.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-03-01",2004,3,51.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-04-01",2004,4,56.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-05-01",2004,5,57.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-06-01",2004,6,52.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-07-01",2004,7,53.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-08-01",2004,8,64,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-09-01",2004,9,69.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-10-01",2004,10,68,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-11-01",2004,11,70.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-12-01",2004,12,67.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-01-01",2005,1,66,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-02-01",2005,2,62.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-03-01",2005,3,55.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-04-01",2005,4,55.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-05-01",2005,5,56.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-06-01",2005,6,49,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-07-01",2005,7,49.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-08-01",2005,8,55.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-09-01",2005,9,63.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-10-01",2005,10,63.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-11-01",2005,11,67.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-12-01",2005,12,60.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-01-01",2006,1,59.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-02-01",2006,2,60,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-03-01",2006,3,61.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-04-01",2006,4,58.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-05-01",2006,5,57.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-06-01",2006,6,54.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-07-01",2006,7,49.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-08-01",2006,8,55.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-09-01",2006,9,63.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-10-01",2006,10,61.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-11-01",2006,11,53,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-12-01",2006,12,51.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-01-01",2007,1,49.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-02-01",2007,2,53.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-03-01",2007,3,58.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-04-01",2007,4,52.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-05-01",2007,5,52.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-06-01",2007,6,50.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-07-01",2007,7,61.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-08-01",2007,8,67.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-09-01",2007,9,74.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-10-01",2007,10,70.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-11-01",2007,11,67,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-12-01",2007,12,68.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-01-01",2008,1,71.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-02-01",2008,2,69.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-03-01",2008,3,67.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-04-01",2008,4,61.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-05-01",2008,5,56.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-06-01",2008,6,56.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-07-01",2008,7,66.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-08-01",2008,8,75.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-09-01",2008,9,78.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-10-01",2008,10,75.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-11-01",2008,11,76.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-12-01",2008,12,78.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-01-01",2009,1,77.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-02-01",2009,2,85.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-03-01",2009,3,80.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-04-01",2009,4,87.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-05-01",2009,5,97.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-06-01",2009,6,85.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-07-01",2009,7,96.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-08-01",2009,8,116.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-09-01",2009,9,125.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-10-01",2009,10,123.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-11-01",2009,11,121.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-12-01",2009,12,120.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-01-01",2010,1,119.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-02-01",2010,2,111.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-03-01",2010,3,111.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-04-01",2010,4,110.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-05-01",2010,5,106.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-06-01",2010,6,99.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-07-01",2010,7,100.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-08-01",2010,8,114.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-09-01",2010,9,113.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-10-01",2010,10,115.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-11-01",2010,11,112.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-12-01",2010,12,113.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-01-01",2011,1,109.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-02-01",2011,2,104.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-03-01",2011,3,96.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-04-01",2011,4,95,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-05-01",2011,5,92.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-06-01",2011,6,85.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-07-01",2011,7,81.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-08-01",2011,8,91.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-09-01",2011,9,91,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-10-01",2011,10,84.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-11-01",2011,11,81.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-12-01",2011,12,76.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-01-01",2012,1,76.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-02-01",2012,2,78.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-03-01",2012,3,75.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-04-01",2012,4,75.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-05-01",2012,5,73.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-06-01",2012,6,65.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-07-01",2012,7,71.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-08-01",2012,8,86.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-09-01",2012,9,96.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-10-01",2012,10,93,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-11-01",2012,11,89.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-12-01",2012,12,85.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-01-01",2013,1,84.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-02-01",2013,2,82.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-03-01",2013,3,83,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-04-01",2013,4,78.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-05-01",2013,5,74,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-06-01",2013,6,70.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-07-01",2013,7,78.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-08-01",2013,8,93,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-09-01",2013,9,96.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-10-01",2013,10,91,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-11-01",2013,11,89,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-12-01",2013,12,91.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-01-01",2014,1,82.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-02-01",2014,2,82.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-03-01",2014,3,76.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-04-01",2014,4,82.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-05-01",2014,5,80.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-06-01",2014,6,78.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-07-01",2014,7,75.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-08-01",2014,8,94.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-09-01",2014,9,101.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-10-01",2014,10,96.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-11-01",2014,11,91.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-12-01",2014,12,88.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-01-01",2015,1,94.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-02-01",2015,2,94.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-03-01",2015,3,91.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-04-01",2015,4,90.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-05-01",2015,5,83.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-06-01",2015,6,77.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-07-01",2015,7,85.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-08-01",2015,8,92.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-09-01",2015,9,94.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-10-01",2015,10,91.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-11-01",2015,11,92.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-12-01",2015,12,87,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-01-01",2016,1,87.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-02-01",2016,2,92.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-03-01",2016,3,81.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-04-01",2016,4,73.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-05-01",2016,5,71.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-06-01",2016,6,74.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-07-01",2016,7,80.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-08-01",2016,8,88,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-09-01",2016,9,93.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-10-01",2016,10,92.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-11-01",2016,11,88.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-12-01",2016,12,83.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-01-01",2017,1,90,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-02-01",2017,2,86.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-03-01",2017,3,86.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-04-01",2017,4,83.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-05-01",2017,5,78.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-06-01",2017,6,76.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-07-01",2017,7,79,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-08-01",2017,8,86.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-09-01",2017,9,93.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-10-01",2017,10,99.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-11-01",2017,11,89.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-12-01",2017,12,86.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-01-01",2018,1,82.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-02-01",2018,2,83.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-03-01",2018,3,86.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-04-01",2018,4,91.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-05-01",2018,5,87.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-06-01",2018,6,79,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-07-01",2018,7,84.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-08-01",2018,8,94.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-09-01",2018,9,98.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-10-01",2018,10,105.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-11-01",2018,11,105,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-12-01",2018,12,100.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-01-01",2019,1,106.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-02-01",2019,2,105.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-03-01",2019,3,98.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-04-01",2019,4,94,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-05-01",2019,5,92,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-06-01",2019,6,82.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-07-01",2019,7,87.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-08-01",2019,8,97.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-09-01",2019,9,96.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-10-01",2019,10,89.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-11-01",2019,11,95.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-12-01",2019,12,91.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-01-01",2020,1,94.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-02-01",2020,2,95.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-03-01",2020,3,93.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-04-01",2020,4,89.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-05-01",2020,5,79.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-06-01",2020,6,83.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-07-01",2020,7,91.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-08-01",2020,8,107,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-09-01",2020,9,113.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-10-01",2020,10,106.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-11-01",2020,11,103.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-12-01",2020,12,104,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-01-01",2021,1,109.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-02-01",2021,2,111.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
