"date","year","month","temp","data_origin"
"1955-07-01",1955,7,18.76,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1955-08-01",1955,8,17.31,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1955-09-01",1955,9,15.37,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1955-10-01",1955,10,7.78,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1955-11-01",1955,11,3.72,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1955-12-01",1955,12,-1.42,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1956-01-01",1956,1,-0.85,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1956-02-01",1956,2,-0.47,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1956-03-01",1956,3,4.08,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1956-04-01",1956,4,9.37,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1956-05-01",1956,5,16.94,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1956-06-01",1956,6,17.75,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1956-07-01",1956,7,16.94,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1956-08-01",1956,8,20.34,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1956-09-01",1956,9,14.83,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1956-10-01",1956,10,5.18,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1956-11-01",1956,11,3.93,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1956-12-01",1956,12,-3.05,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1957-01-01",1957,1,-2.64,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1957-02-01",1957,2,-1.54,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1957-03-01",1957,3,3.63,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1957-04-01",1957,4,8.72,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1957-05-01",1957,5,16.65,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1957-06-01",1957,6,18.92,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1957-07-01",1957,7,18.31,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1957-08-01",1957,8,19.38,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1957-09-01",1957,9,12.42,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1957-10-01",1957,10,9.56,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1957-11-01",1957,11,3.58,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1957-12-01",1957,12,-3.79,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1958-01-01",1958,1,-2.82,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1958-02-01",1958,2,-0.07,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1958-03-01",1958,3,3.12,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1958-04-01",1958,4,8.82,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1958-05-01",1958,5,14.33,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1958-06-01",1958,6,19.13,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1958-07-01",1958,7,18.07,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1958-08-01",1958,8,18.66,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1958-09-01",1958,9,13.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1958-10-01",1958,10,9.15,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1958-11-01",1958,11,3.16,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1958-12-01",1958,12,-4.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1959-01-01",1959,1,-4.63,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1959-02-01",1959,2,-3.25,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1959-03-01",1959,3,3.36,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1959-04-01",1959,4,10.82,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1959-05-01",1959,5,17.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1959-06-01",1959,6,18.62,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1959-07-01",1959,7,21.27,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1959-08-01",1959,8,19.59,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1959-09-01",1959,9,12.44,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1959-10-01",1959,10,8.74,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1959-11-01",1959,11,2.14,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1959-12-01",1959,12,0.34,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1960-01-01",1960,1,-3.76,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1960-02-01",1960,2,-3.17,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1960-03-01",1960,3,1.62,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1960-04-01",1960,4,10.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1960-05-01",1960,5,13.75,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1960-06-01",1960,6,17.99,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1960-07-01",1960,7,18.96,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1960-08-01",1960,8,16.87,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1960-09-01",1960,9,16.91,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1960-10-01",1960,10,8.98,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1960-11-01",1960,11,2.07,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1960-12-01",1960,12,0.01,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1961-01-01",1961,1,-3.32,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1961-02-01",1961,2,-2.01,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1961-03-01",1961,3,1.63,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1961-04-01",1961,4,8.98,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1961-05-01",1961,5,13.76,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1961-06-01",1961,6,18.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1961-07-01",1961,7,18.36,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1961-08-01",1961,8,17.93,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1961-09-01",1961,9,13.47,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1961-10-01",1961,10,8.99,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1961-11-01",1961,11,1.11,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1961-12-01",1961,12,-1.04,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1962-01-01",1962,1,-3.84,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1962-02-01",1962,2,-1.47,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1962-03-01",1962,3,5.84,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1962-04-01",1962,4,8.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1962-05-01",1962,5,13.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1962-06-01",1962,6,18.82,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1962-07-01",1962,7,20.34,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1962-08-01",1962,8,19.07,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1962-09-01",1962,9,15.06,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1962-10-01",1962,10,6.54,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1962-11-01",1962,11,1.38,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1962-12-01",1962,12,1.23,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1963-01-01",1963,1,-1.69,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1963-02-01",1963,2,-0.48,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1963-03-01",1963,3,5.93,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1963-04-01",1963,4,9.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1963-05-01",1963,5,16.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1963-06-01",1963,6,19.58,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1963-07-01",1963,7,18.32,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1963-08-01",1963,8,19.45,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1963-09-01",1963,9,17.66,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1963-10-01",1963,10,10.06,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1963-11-01",1963,11,1.44,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1963-12-01",1963,12,-5.31,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1964-01-01",1964,1,-2.42,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1964-02-01",1964,2,-1.91,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1964-03-01",1964,3,2.53,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1964-04-01",1964,4,9.74,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1964-05-01",1964,5,17.26,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1964-06-01",1964,6,18.13,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1964-07-01",1964,7,19.93,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1964-08-01",1964,8,21.72,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1964-09-01",1964,9,13.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1964-10-01",1964,10,7.45,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1964-11-01",1964,11,2.73,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1964-12-01",1964,12,-3.57,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1965-01-01",1965,1,-1.14,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1965-02-01",1965,2,1.62,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1965-03-01",1965,3,3.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1965-04-01",1965,4,10.65,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1965-05-01",1965,5,14.17,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1965-06-01",1965,6,18.45,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1965-07-01",1965,7,20.52,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1965-08-01",1965,8,21.18,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1965-09-01",1965,9,16.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1965-10-01",1965,10,8.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1965-11-01",1965,11,3.57,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1965-12-01",1965,12,-1.66,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1966-01-01",1966,1,-1.86,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1966-02-01",1966,2,-1.07,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1966-03-01",1966,3,4.51,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1966-04-01",1966,4,8.45,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1966-05-01",1966,5,14.35,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1966-06-01",1966,6,19.23,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1966-07-01",1966,7,21.38,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1966-08-01",1966,8,19.08,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1966-09-01",1966,9,13.45,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1966-10-01",1966,10,9.06,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1966-11-01",1966,11,1.77,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1966-12-01",1966,12,-2.57,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1967-01-01",1967,1,-2.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1967-02-01",1967,2,0.09,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1967-03-01",1967,3,5.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1967-04-01",1967,4,10.22,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1967-05-01",1967,5,16.67,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1967-06-01",1967,6,18.89,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1967-07-01",1967,7,23.22,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1967-08-01",1967,8,17.07,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1967-09-01",1967,9,14.41,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1967-10-01",1967,10,9.08,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1967-11-01",1967,11,1.53,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1967-12-01",1967,12,-0.79,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1968-01-01",1968,1,-1.35,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1968-02-01",1968,2,-2.79,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1968-03-01",1968,3,2.57,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1968-04-01",1968,4,9.63,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1968-05-01",1968,5,16.16,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1968-06-01",1968,6,18.83,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1968-07-01",1968,7,19.06,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1968-08-01",1968,8,20.42,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1968-09-01",1968,9,13.65,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1968-10-01",1968,10,4.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1968-11-01",1968,11,3.54,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1968-12-01",1968,12,-0.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1969-01-01",1969,1,-1.78,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1969-02-01",1969,2,-0.62,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1969-03-01",1969,3,2.81,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1969-04-01",1969,4,10.96,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1969-05-01",1969,5,14.04,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1969-06-01",1969,6,20.35,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1969-07-01",1969,7,20.24,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1969-08-01",1969,8,19.56,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1969-09-01",1969,9,14.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1969-10-01",1969,10,8.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1969-11-01",1969,11,2.55,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1969-12-01",1969,12,-0.39,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1970-01-01",1970,1,-3.09,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1970-02-01",1970,2,-0.47,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1970-03-01",1970,3,5.56,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1970-04-01",1970,4,10.42,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1970-05-01",1970,5,14.67,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1970-06-01",1970,6,17.76,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1970-07-01",1970,7,20.04,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1970-08-01",1970,8,19.81,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1970-09-01",1970,9,14.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1970-10-01",1970,10,7.77,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1970-11-01",1970,11,2.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1970-12-01",1970,12,-2.29,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1971-01-01",1971,1,-2.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1971-02-01",1971,2,0.22,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1971-03-01",1971,3,5.61,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1971-04-01",1971,4,11.09,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1971-05-01",1971,5,13.73,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1971-06-01",1971,6,20.95,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1971-07-01",1971,7,19.32,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1971-08-01",1971,8,20.07,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1971-09-01",1971,9,12.94,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1971-10-01",1971,10,8.73,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1971-11-01",1971,11,5.14,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1971-12-01",1971,12,-0.74,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
