"date","year","month","stopa","data_origin"
"2007-12-01",2007,12,12.29,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-01-01",2008,1,11.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-02-01",2008,2,11.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-03-01",2008,3,11.09,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-04-01",2008,4,10.45,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-05-01",2008,5,10.39,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-06-01",2008,6,10.17,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-07-01",2008,7,10.12,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-08-01",2008,8,10.19,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-09-01",2008,9,10.47,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-10-01",2008,10,10.43,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-11-01",2008,11,10.84,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2008-12-01",2008,12,10.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-01-01",2009,1,10.93,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-02-01",2009,2,10.66,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-03-01",2009,3,10.02,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-04-01",2009,4,9.32,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-05-01",2009,5,9.04,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-06-01",2009,6,8.87,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-07-01",2009,7,8.92,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-08-01",2009,8,8.75,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-09-01",2009,9,8.73,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-10-01",2009,10,9.22,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-11-01",2009,11,9.59,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2009-12-01",2009,12,9.84,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-01-01",2010,1,9.85,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-02-01",2010,2,9.36,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-03-01",2010,3,8.77,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-04-01",2010,4,7.86,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-05-01",2010,5,7.59,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-06-01",2010,6,7.64,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-07-01",2010,7,7.68,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-08-01",2010,8,7.42,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-09-01",2010,9,7.67,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-10-01",2010,10,8.02,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-11-01",2010,11,8.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2010-12-01",2010,12,8.29,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-01-01",2011,1,8.27,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-02-01",2011,2,8.06,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-03-01",2011,3,7.49,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-04-01",2011,4,6.79,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-05-01",2011,5,6.84,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-06-01",2011,6,6.85,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-07-01",2011,7,6.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-08-01",2011,8,6.52,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-09-01",2011,9,6.47,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-10-01",2011,10,6.87,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-11-01",2011,11,7.12,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2011-12-01",2011,12,7.12,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-01-01",2012,1,7.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-02-01",2012,2,7.11,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-03-01",2012,3,6.36,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-04-01",2012,4,6.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-05-01",2012,5,5.76,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-06-01",2012,6,5.32,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-07-01",2012,7,5.74,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-08-01",2012,8,5.71,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-09-01",2012,9,5.82,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-10-01",2012,10,6.22,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-11-01",2012,11,6.84,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2012-12-01",2012,12,7.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-01-01",2013,1,6.73,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-02-01",2013,2,6.27,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-03-01",2013,3,5.77,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-04-01",2013,4,5.41,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-05-01",2013,5,5.23,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-06-01",2013,6,5.08,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-07-01",2013,7,5.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-08-01",2013,8,5.51,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-09-01",2013,9,5.52,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-10-01",2013,10,5.91,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-11-01",2013,11,6.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2013-12-01",2013,12,6.47,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-01-01",2014,1,6.53,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-02-01",2014,2,6.24,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-03-01",2014,3,5.63,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-04-01",2014,4,4.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-05-01",2014,5,4.42,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-06-01",2014,6,4.06,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-07-01",2014,7,4.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-08-01",2014,8,4.48,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-09-01",2014,9,4.74,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-10-01",2014,10,5.11,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-11-01",2014,11,5.82,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2014-12-01",2014,12,5.65,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-01-01",2015,1,5.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-02-01",2015,2,5.62,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-03-01",2015,3,5.15,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-04-01",2015,4,4.79,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-05-01",2015,5,4.58,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-06-01",2015,6,4.33,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-07-01",2015,7,4.45,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-08-01",2015,8,4.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-09-01",2015,9,4.49,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-10-01",2015,10,5.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-11-01",2015,11,5.52,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2015-12-01",2015,12,5.75,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-01-01",2016,1,5.67,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-02-01",2016,2,5.39,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-03-01",2016,3,5.06,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-04-01",2016,4,4.35,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-05-01",2016,5,4.05,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-06-01",2016,6,4.06,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-07-01",2016,7,4.23,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-08-01",2016,8,3.89,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-09-01",2016,9,4.27,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-10-01",2016,10,4.54,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-11-01",2016,11,5.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2016-12-01",2016,12,5.07,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-01-01",2017,1,5.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-02-01",2017,2,4.78,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-03-01",2017,3,4.13,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-04-01",2017,4,3.75,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-05-01",2017,5,3.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-06-01",2017,6,3.39,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-07-01",2017,7,3.67,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-08-01",2017,8,3.55,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-09-01",2017,9,3.66,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-10-01",2017,10,4.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-11-01",2017,11,4.75,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2017-12-01",2017,12,5.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-01-01",2018,1,5.08,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-02-01",2018,2,4.78,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-03-01",2018,3,4.13,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-04-01",2018,4,3.63,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-05-01",2018,5,3.39,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-06-01",2018,6,3.17,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-07-01",2018,7,3.52,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-08-01",2018,8,3.41,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-09-01",2018,9,3.41,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-10-01",2018,10,3.77,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-11-01",2018,11,4.54,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2018-12-01",2018,12,4.61,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-01-01",2019,1,4.58,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-02-01",2019,2,4.39,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-03-01",2019,3,3.83,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-04-01",2019,4,3.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-05-01",2019,5,3.05,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-06-01",2019,6,3.16,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-07-01",2019,7,3.36,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-08-01",2019,8,3.39,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-09-01",2019,9,3.32,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-10-01",2019,10,3.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-11-01",2019,11,4.22,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2019-12-01",2019,12,4.41,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-01-01",2020,1,4.77,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-02-01",2020,2,5.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-03-01",2020,3,5.08,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-04-01",2020,4,4.83,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-05-01",2020,5,5.24,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-06-01",2020,6,5.49,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-07-01",2020,7,5.97,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-08-01",2020,8,5.95,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-09-01",2020,9,5.98,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-10-01",2020,10,6.19,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-11-01",2020,11,6.41,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2020-12-01",2020,12,6.62,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-01-01",2021,1,6.82,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
