"id","klasa_gleby","nawozenie","powierzchnia_ha","plon_pszenicy","plon_rzepa","wilgotnosc_proc","ph_gleby","plon_ponizej_5","wilg_powyzej_70"
173,"II","srednie",76.2,7.06,3.91,48.3,6.4,FALSE,FALSE
174,"I","srednie",4.8,7.6,4.2,69.6,6.3,FALSE,FALSE
175,"III","niskie",20.2,6.09,3.1,69.8,6.1,FALSE,FALSE
176,"III","srednie",9,5.11,3.04,68.4,5.4,FALSE,FALSE
177,"II","srednie",11.7,7.39,4.87,56.1,8,FALSE,FALSE
178,"II","srednie",11.3,7.63,4.29,47.5,5.6,FALSE,FALSE
179,"II","niskie",49,5.67,3.92,35.5,6.8,FALSE,FALSE
180,"II","srednie",8.9,6.89,4.55,39.4,5.8,FALSE,FALSE
181,"I","srednie",29.9,6.74,4.68,78.8,5.5,FALSE,TRUE
182,"II","wysokie",25.5,7.96,4.92,46.1,7.4,FALSE,FALSE
183,"III","srednie",79,5.81,4.3,44.2,6.1,FALSE,FALSE
184,"II","wysokie",36.1,5.48,4.34,49.5,6.3,FALSE,FALSE
185,"II","srednie",3.2,6.51,3.88,44.1,7.7,FALSE,FALSE
186,"I","srednie",34.5,7.83,5.89,46.1,6.9,FALSE,FALSE
187,"III","srednie",46.7,5.97,3.59,82.5,6.6,FALSE,TRUE
188,"II","srednie",9,6.44,4.54,47.4,6.1,FALSE,FALSE
189,"I","niskie",33.2,5.76,5.06,50.8,6.2,FALSE,FALSE
190,"I","srednie",4.2,7.31,4.98,56.5,6.2,FALSE,FALSE
191,"III","srednie",13.1,6.75,2.97,85.5,6.1,FALSE,TRUE
192,"I","niskie",19.1,5.83,4.03,52,7.4,FALSE,FALSE
193,"I","wysokie",25.3,7.05,4.58,61.2,6.4,FALSE,FALSE
194,"III","srednie",26.2,4.86,3.18,62.3,5.9,TRUE,FALSE
195,"I","srednie",37.8,5.38,5.79,53.3,7,FALSE,FALSE
196,"II","wysokie",10.8,5.81,4.4,26.8,6.5,FALSE,FALSE
197,"II","srednie",6.6,4.93,4.15,77,5.1,TRUE,TRUE
198,"II","niskie",33.4,6.66,4.07,55.1,5.8,FALSE,FALSE
199,"III","srednie",17.4,6.03,3.04,64,6,FALSE,FALSE
200,"II","wysokie",9,5.94,4.27,47.5,6.7,FALSE,FALSE
201,"III","srednie",42.2,5.62,3.62,65.9,5.8,FALSE,FALSE
202,"II","srednie",15.2,6.09,3.82,69.8,6.4,FALSE,FALSE
203,"I","wysokie",28.6,7.96,4.68,78.6,5.7,FALSE,TRUE
204,"II","niskie",14.8,6.99,2.89,44.9,7.2,FALSE,FALSE
205,"III","srednie",36.3,3.52,2.8,61.1,6.3,TRUE,FALSE
206,"II","srednie",43.1,6.15,4.64,54.7,6.3,FALSE,FALSE
207,"II","wysokie",10.7,7.19,4.42,52.2,5.7,FALSE,FALSE
208,"III","niskie",16.8,2.81,3.46,44.7,6.2,TRUE,FALSE
209,"II","wysokie",35.7,6.96,3.08,66,7,FALSE,FALSE
210,"III","niskie",31.6,5.27,2.99,63.7,5.8,FALSE,FALSE
211,"III","niskie",20.3,4.34,3.77,84.5,6.1,TRUE,TRUE
212,"I","niskie",14.2,6.76,4.05,28.4,6.2,FALSE,FALSE
213,"III","niskie",33.1,4.53,3.96,85.7,4.9,TRUE,TRUE
214,"II","wysokie",7.7,7.1,4.52,49.5,6.4,FALSE,FALSE
215,"II","niskie",7.2,6.23,3.99,73.7,4.9,FALSE,TRUE
216,"III","wysokie",5.3,5.57,3.91,60.2,7.5,FALSE,FALSE
217,"III","niskie",34.1,2.83,3.38,65.2,6.3,TRUE,FALSE
218,"II","wysokie",79.7,8.18,4.77,61.3,6.1,FALSE,FALSE
219,"II","wysokie",25.1,6.24,4.18,75.5,6.2,FALSE,TRUE
220,"II","srednie",52.6,5.98,4.51,48.8,6.9,FALSE,FALSE
221,"I","srednie",38.9,7.01,4.26,68.3,6.3,FALSE,FALSE
222,"I","niskie",9.6,6.89,4.99,37.1,6.5,FALSE,FALSE
223,"III","niskie",20.3,4.4,3.94,45.9,6.7,TRUE,FALSE
224,"II","niskie",6.9,6.04,4.19,65.7,6,FALSE,FALSE
225,"II","niskie",38.7,5.3,3.37,62.5,6,FALSE,FALSE
226,"III","srednie",35.8,5.25,3.35,54.6,6.8,FALSE,FALSE
227,"I","wysokie",23.7,8.13,4.24,56.3,6.5,FALSE,FALSE
228,"II","srednie",16.2,7.04,4.88,60.6,6.6,FALSE,FALSE
229,"II","srednie",25.5,5.93,4.13,70.3,7.7,FALSE,TRUE
230,"III","niskie",5.5,4.74,3.48,32.8,6.7,TRUE,FALSE
231,"II","wysokie",22.9,7.28,4.44,61.1,5.2,FALSE,FALSE
232,"II","srednie",104.1,6.37,3.89,35.7,7.4,FALSE,FALSE
233,"I","srednie",9.7,7.18,4.52,77.3,4.8,FALSE,TRUE
234,"I","srednie",5,8.31,4.95,70,6.5,FALSE,TRUE
235,"III","wysokie",10.1,5.94,3.71,53.6,6.6,FALSE,FALSE
236,"II","niskie",42.1,3.38,3.94,74.4,6.2,TRUE,TRUE
237,"III","wysokie",20.6,5.56,3.65,51.3,5.7,FALSE,FALSE
238,"II","srednie",8.8,6.03,4.18,26.7,6.3,FALSE,FALSE
239,"III","srednie",7.5,5.38,4.5,37.7,6.4,FALSE,FALSE
240,"III","wysokie",11.2,6.02,3.98,56.7,6.2,FALSE,FALSE
241,"II","niskie",51.3,6.04,4.07,45,6.1,FALSE,FALSE
242,"III","wysokie",28.6,6.31,4.03,61.3,6.3,FALSE,FALSE
243,"II","wysokie",9.4,5.97,4.73,82.7,5.3,FALSE,TRUE
244,"III","niskie",38.2,3.16,3.77,53.5,7.4,TRUE,FALSE
245,"II","wysokie",9.7,6.78,4.86,58.8,6.9,FALSE,FALSE
246,"II","niskie",14,5.46,3.12,71.2,6.1,FALSE,TRUE
247,"II","srednie",34.2,7.02,4.75,83.7,6,FALSE,TRUE
248,"III","wysokie",37.2,6.77,3.71,23.3,6.4,FALSE,FALSE
249,"I","srednie",3,7.3,5.11,69.6,6.5,FALSE,FALSE
250,"I","niskie",60.1,5.22,4.29,47.1,6.5,FALSE,FALSE
251,"II","niskie",29.2,6.84,3.46,57.7,5.6,FALSE,FALSE
252,"I","wysokie",15.7,8.25,4.89,29.8,6.9,FALSE,FALSE
253,"II","srednie",7.6,6.24,3.95,48.4,6.8,FALSE,FALSE
254,"III","niskie",13.7,5.09,3.21,75.4,6.3,FALSE,TRUE
255,"II","niskie",14.7,5.72,3.82,68.2,6.4,FALSE,FALSE
256,"III","niskie",8.2,6.53,2.72,43.6,6.4,FALSE,FALSE
257,"II","srednie",21.1,5.91,4.68,60.4,6.6,FALSE,FALSE
258,"I","niskie",40.7,6.79,4.83,52.6,6.3,FALSE,FALSE
259,"I","wysokie",39.6,6.95,5.01,34.9,7.3,FALSE,FALSE
260,"III","niskie",6.4,3.28,2.45,48.1,5.3,TRUE,FALSE
261,"III","srednie",13.7,5.83,3.21,77,6.9,FALSE,TRUE
262,"II","niskie",6.6,6.81,4.24,51.1,6.8,FALSE,FALSE
263,"II","srednie",24.3,7.02,4.23,41.6,6,FALSE,FALSE
264,"I","srednie",19.3,6.2,5.33,67.4,5.8,FALSE,FALSE
265,"III","srednie",53.1,5.55,3.4,57.1,6.4,FALSE,FALSE
266,"II","srednie",8.4,5.56,4.23,46.9,6.7,FALSE,FALSE
267,"III","wysokie",5.3,6.04,3.21,59.8,7.1,FALSE,FALSE
268,"II","srednie",10,4.56,4.89,20,6.3,TRUE,FALSE
269,"II","niskie",35.1,6.73,3.93,67.3,6.9,FALSE,FALSE
270,"II","srednie",25.1,7.99,4.32,45.2,5.4,FALSE,FALSE
271,"II","wysokie",47,7.03,3.77,68.4,5.7,FALSE,FALSE
272,"II","srednie",13.1,7.53,4.61,81.7,6,FALSE,TRUE
273,"II","niskie",9,5.06,3.12,66.7,6.2,FALSE,FALSE
274,"II","srednie",153.5,6.23,5.75,57.5,6.3,FALSE,FALSE
275,"II","wysokie",11.8,7.58,4.85,37.6,6,FALSE,FALSE
276,"II","srednie",12.9,6.43,3.7,36.4,6.7,FALSE,FALSE
277,"II","srednie",66.9,5.31,4.1,56.3,7.3,FALSE,FALSE
278,"II","niskie",3.8,5.55,3.9,41.8,5.9,FALSE,FALSE
279,"II","wysokie",14.6,6.57,4.62,51.8,6.1,FALSE,FALSE
280,"II","srednie",27.1,6.01,4.42,40.7,5.1,FALSE,FALSE
