"id","branza","wielkosc","zmiany","wskaznik_wypadkow","absencja_dni","szkolenia_rocznie","naruszen_proc","ponad_norma_halas"
57,"spozywcza","maly","jedna",7.6,11.9,6,19.5,FALSE
58,"metalowa","sredni","dwie",20.2,21.8,5,0,FALSE
59,"chemiczna","sredni","jedna",6.82,13.9,5,9.6,FALSE
60,"metalowa","sredni","dwie",13.13,3.9,6,0,FALSE
61,"metalowa","maly","trzy",14.82,13.8,2,0,TRUE
62,"chemiczna","duzy","jedna",11.03,24,3,7.9,TRUE
63,"spozywcza","sredni","dwie",9.76,15.2,7,0,FALSE
64,"spozywcza","maly","dwie",8.86,13.2,2,14.2,FALSE
65,"metalowa","duzy","trzy",9.32,16.2,5,10.6,TRUE
66,"metalowa","maly","jedna",9.88,16.7,4,10.4,FALSE
67,"spozywcza","maly","dwie",7.33,7.5,7,3.3,FALSE
68,"spozywcza","sredni","jedna",4.72,11.4,6,10.9,FALSE
69,"spozywcza","sredni","dwie",8.13,16.4,4,5.7,FALSE
70,"spozywcza","maly","dwie",4.55,12.2,4,0,FALSE
71,"chemiczna","duzy","jedna",11.4,14.3,0,27,FALSE
72,"metalowa","maly","jedna",11.86,14.7,3,10.8,TRUE
73,"spozywcza","sredni","jedna",8.05,9.1,4,15.5,FALSE
74,"chemiczna","sredni","dwie",8.59,12.3,8,5.5,TRUE
75,"metalowa","sredni","dwie",9.82,16,3,10.6,TRUE
76,"spozywcza","maly","trzy",13.07,13.6,4,14.9,FALSE
77,"spozywcza","sredni","dwie",4.34,11.2,3,1.4,TRUE
78,"spozywcza","maly","dwie",4.54,12.2,1,19.8,TRUE
79,"metalowa","maly","dwie",9.81,18.3,3,21.9,FALSE
80,"chemiczna","sredni","jedna",14.33,10.5,4,21.8,FALSE
81,"metalowa","sredni","trzy",12.96,16.8,4,5.8,TRUE
82,"chemiczna","maly","jedna",12.06,19.8,5,5.2,FALSE
83,"chemiczna","maly","dwie",6.01,13.4,3,20.2,FALSE
84,"chemiczna","sredni","jedna",7.14,5.1,2,9.5,FALSE
85,"metalowa","maly","dwie",11.49,15,5,11.9,TRUE
86,"chemiczna","sredni","trzy",12.71,21.4,1,14,FALSE
87,"spozywcza","sredni","dwie",6.13,8.1,5,2,FALSE
88,"chemiczna","maly","dwie",11.53,16,3,12.2,FALSE
89,"metalowa","sredni","trzy",13.66,13.7,0,16.8,FALSE
90,"metalowa","maly","dwie",12.58,20.3,2,10.5,FALSE
91,"chemiczna","duzy","trzy",17.39,23.7,6,0.7,FALSE
92,"spozywcza","maly","dwie",4.93,12.7,0,23.6,FALSE
93,"chemiczna","sredni","dwie",12.42,18,6,19.6,FALSE
94,"metalowa","maly","dwie",15.51,17.3,6,2.2,TRUE
95,"metalowa","sredni","jedna",16.54,27.4,5,0,TRUE
96,"metalowa","sredni","trzy",14.34,21.3,3,4.5,FALSE
97,"chemiczna","maly","jedna",9.3,8.6,2,15.4,FALSE
98,"metalowa","sredni","dwie",12.49,10.4,0,18.1,FALSE
99,"spozywcza","duzy","jedna",8.59,13.6,3,3,FALSE
100,"metalowa","sredni","jedna",13.15,15,3,13.5,FALSE
101,"metalowa","sredni","jedna",10.3,15.7,7,2.5,FALSE
102,"chemiczna","sredni","dwie",12.14,14.1,4,12.1,FALSE
103,"spozywcza","maly","jedna",8.2,11.1,2,12.9,FALSE
104,"metalowa","maly","dwie",14.24,21,5,0,TRUE
105,"metalowa","sredni","jedna",20.21,24.4,5,18.5,FALSE
106,"metalowa","sredni","jedna",12.09,18.6,2,24.7,TRUE
107,"spozywcza","sredni","dwie",5.46,11.7,4,9.9,FALSE
108,"spozywcza","sredni","trzy",9.75,17.8,2,26.2,TRUE
109,"metalowa","sredni","trzy",12.45,9.6,2,21.1,TRUE
110,"spozywcza","maly","trzy",5.93,6.5,2,5.8,FALSE
111,"spozywcza","maly","dwie",5.9,16.9,2,20.5,FALSE
112,"chemiczna","sredni","dwie",9.65,12.5,1,7,TRUE
113,"metalowa","maly","jedna",14.31,18.3,5,4.8,TRUE
114,"metalowa","sredni","jedna",12.34,23.4,4,13.5,FALSE
115,"metalowa","duzy","dwie",9.36,12.4,3,22.4,FALSE
116,"metalowa","maly","jedna",10.7,10.6,6,0,TRUE
117,"spozywcza","duzy","dwie",2.2,0,4,11.5,FALSE
118,"metalowa","sredni","dwie",11.35,14.5,4,19.2,TRUE
119,"metalowa","duzy","trzy",9.1,13.2,2,14.1,FALSE
120,"chemiczna","sredni","dwie",4.85,15.3,6,0,FALSE
121,"spozywcza","maly","jedna",9.38,12,3,19.1,FALSE
122,"metalowa","sredni","dwie",11.43,14.1,2,18.8,FALSE
123,"spozywcza","sredni","jedna",6.31,11.7,5,15,FALSE
124,"chemiczna","sredni","trzy",12.24,17.2,2,13.4,FALSE
125,"spozywcza","sredni","dwie",5.64,14.5,1,25.7,FALSE
126,"metalowa","maly","dwie",11.33,12.5,6,6.8,FALSE
127,"metalowa","sredni","jedna",9.37,15.3,5,7.9,TRUE
128,"spozywcza","maly","trzy",7.27,14.3,5,6.8,FALSE
129,"metalowa","sredni","dwie",8.64,14,4,28.1,TRUE
130,"spozywcza","sredni","dwie",9.62,20.1,4,16.2,FALSE
131,"metalowa","duzy","dwie",13.98,9.6,1,0,TRUE
132,"spozywcza","maly","trzy",5.89,14.6,2,10.2,TRUE
133,"metalowa","sredni","jedna",16.9,23.7,3,17.8,TRUE
134,"metalowa","maly","dwie",11.2,10.1,5,2.5,TRUE
135,"chemiczna","sredni","jedna",7.54,13.6,3,5.1,FALSE
136,"metalowa","maly","dwie",7.2,8.8,4,3.4,FALSE
137,"metalowa","maly","dwie",12.11,14.3,4,12.4,FALSE
138,"spozywcza","maly","jedna",3.38,10.7,3,7.5,FALSE
139,"spozywcza","maly","jedna",7.42,12.3,1,15.8,FALSE
140,"metalowa","duzy","jedna",11.83,23.6,3,10.6,TRUE
141,"spozywcza","maly","dwie",9.85,14,3,10.5,FALSE
142,"metalowa","duzy","trzy",11.14,9.6,0,13.8,FALSE
143,"spozywcza","maly","trzy",3.08,7.3,3,5.4,FALSE
144,"spozywcza","sredni","dwie",8.35,12.2,5,19.7,FALSE
145,"chemiczna","maly","dwie",10.71,13.1,2,20.9,TRUE
146,"metalowa","maly","trzy",17.41,21.5,2,14.9,TRUE
147,"metalowa","maly","jedna",10.68,12.1,6,6.5,TRUE
148,"spozywcza","sredni","dwie",8.7,16,3,13.5,TRUE
149,"spozywcza","sredni","dwie",8.57,12.3,0,32.8,FALSE
150,"metalowa","maly","dwie",10.48,10.1,1,13,TRUE
151,"metalowa","maly","dwie",7.02,12.4,7,0,FALSE
152,"metalowa","sredni","dwie",9.8,11.8,5,8.1,FALSE
153,"chemiczna","sredni","jedna",8.97,13.9,3,16.2,FALSE
154,"spozywcza","sredni","dwie",7.53,19.7,0,19.1,FALSE
155,"chemiczna","maly","dwie",4.91,11.1,0,14.7,TRUE
156,"spozywcza","duzy","jedna",6,11.5,1,22.8,FALSE
157,"metalowa","maly","trzy",9.72,8.3,1,28.1,TRUE
158,"spozywcza","sredni","jedna",8.68,14.6,3,12.1,FALSE
159,"chemiczna","duzy","dwie",9.55,13.5,5,22.4,FALSE
160,"metalowa","maly","dwie",10.4,20.8,2,2.5,TRUE
161,"metalowa","maly","trzy",15.26,9.7,2,7.4,TRUE
162,"spozywcza","maly","dwie",4.32,7.7,1,24.9,TRUE
163,"chemiczna","maly","jedna",12.23,13.7,1,11.3,FALSE
164,"metalowa","maly","trzy",10.84,15.3,2,23,FALSE
165,"metalowa","duzy","dwie",6.22,9.7,1,10.6,FALSE
166,"metalowa","duzy","trzy",10.36,15.5,6,15.2,FALSE
167,"metalowa","maly","dwie",10.86,25.2,3,8.7,FALSE
168,"spozywcza","maly","trzy",7.84,11.6,5,7.2,FALSE
169,"spozywcza","maly","dwie",4.54,11.6,2,16.7,FALSE
170,"metalowa","maly","trzy",12.04,12.7,3,1.7,FALSE
171,"chemiczna","maly","dwie",10.18,19,1,15.6,FALSE
172,"spozywcza","maly","trzy",9.23,9,2,14,FALSE
173,"spozywcza","maly","trzy",8.75,12,2,23.7,FALSE
174,"chemiczna","maly","jedna",5.57,12.9,3,3.3,FALSE
175,"metalowa","sredni","trzy",13.98,20.4,4,19.8,TRUE
176,"spozywcza","sredni","trzy",12.89,17.3,3,11,FALSE
177,"chemiczna","duzy","jedna",5.91,14.7,5,4.6,FALSE
178,"chemiczna","duzy","dwie",15.44,12,2,21.2,TRUE
179,"chemiczna","sredni","dwie",12.07,13.4,5,9.9,FALSE
180,"spozywcza","duzy","jedna",2.26,9.5,4,16.7,FALSE
181,"metalowa","sredni","jedna",8.14,17.7,0,30.9,TRUE
182,"metalowa","maly","dwie",11.03,15.1,1,15.5,FALSE
183,"chemiczna","maly","dwie",9.29,13.1,6,0,TRUE
184,"spozywcza","sredni","dwie",4.18,11.3,4,5.5,FALSE
185,"metalowa","sredni","jedna",9.12,9.5,3,10,TRUE
186,"metalowa","sredni","trzy",14.5,11.4,4,10.3,TRUE
187,"chemiczna","maly","trzy",11.49,17.2,1,3.5,FALSE
188,"metalowa","maly","dwie",9.58,10.5,3,6,FALSE
189,"metalowa","duzy","jedna",9.69,15.5,4,5.9,TRUE
190,"spozywcza","maly","dwie",4.18,5.8,2,12,FALSE
191,"metalowa","sredni","jedna",2.87,7.2,2,8.7,FALSE
192,"metalowa","maly","dwie",10.1,14.8,2,9.7,FALSE
193,"metalowa","maly","trzy",11.26,10.6,6,19.5,TRUE
194,"chemiczna","maly","jedna",8.16,12.7,4,8.2,TRUE
195,"metalowa","duzy","trzy",10.16,15.5,1,5.5,TRUE
196,"metalowa","sredni","trzy",14.82,24,2,5.2,FALSE
197,"metalowa","sredni","jedna",6.68,9.8,0,18.2,FALSE
198,"spozywcza","maly","trzy",13.62,18.5,3,26.6,FALSE
199,"spozywcza","sredni","jedna",2.69,13,4,14.5,TRUE
200,"metalowa","maly","jedna",12.6,25.6,3,1.4,TRUE
201,"chemiczna","maly","trzy",16.68,25.8,1,15.5,FALSE
202,"spozywcza","duzy","trzy",6.16,15.9,0,11.8,TRUE
203,"metalowa","maly","jedna",10.01,20,2,4.6,FALSE
204,"chemiczna","maly","trzy",8.43,12.1,0,18.7,FALSE
205,"spozywcza","sredni","trzy",8.72,18.1,5,27,FALSE
206,"spozywcza","maly","jedna",8.07,10.8,2,25.1,TRUE
207,"metalowa","maly","dwie",7.13,15.5,0,6.8,FALSE
208,"chemiczna","sredni","jedna",5.23,12.1,5,10.7,FALSE
209,"chemiczna","maly","jedna",4.05,8.8,4,14.5,FALSE
210,"spozywcza","maly","dwie",8.49,15.3,0,25.2,FALSE
211,"spozywcza","sredni","trzy",9.58,17.8,3,15.2,FALSE
212,"metalowa","sredni","dwie",9.73,16.9,1,28,TRUE
213,"metalowa","maly","dwie",8.74,9.2,6,0,FALSE
214,"metalowa","sredni","jedna",5.95,5.5,7,9.7,FALSE
215,"chemiczna","duzy","dwie",11.48,14.5,3,8.9,FALSE
216,"spozywcza","sredni","jedna",3.89,5.8,5,3.4,FALSE
217,"metalowa","duzy","jedna",13.49,16.6,6,14,FALSE
218,"metalowa","sredni","jedna",17.58,19,2,30.7,FALSE
219,"metalowa","sredni","dwie",16.31,16.2,4,12.8,FALSE
220,"metalowa","sredni","jedna",8.55,6.7,3,17.9,FALSE
221,"metalowa","maly","dwie",15.64,16,2,10.4,FALSE
222,"spozywcza","maly","dwie",4.95,9.7,4,11.6,FALSE
223,"metalowa","maly","trzy",14.22,10.2,3,0.6,TRUE
224,"spozywcza","duzy","dwie",7.62,15.5,5,9,FALSE
225,"metalowa","maly","trzy",15.04,16.8,3,23.6,FALSE
226,"chemiczna","sredni","jedna",8.53,13.8,1,27.2,FALSE
227,"spozywcza","duzy","jedna",7.23,15.3,4,8.6,FALSE
228,"metalowa","sredni","dwie",14.02,21.7,5,8.7,TRUE
229,"metalowa","maly","trzy",6.51,7,0,6.8,FALSE
230,"metalowa","sredni","jedna",10.33,24.2,1,0,TRUE
231,"spozywcza","duzy","dwie",8.31,10.7,3,16.5,FALSE
232,"metalowa","sredni","trzy",13.96,17.2,3,5.4,TRUE
233,"metalowa","maly","jedna",11.62,17.7,2,14.5,FALSE
234,"spozywcza","sredni","dwie",12.63,14.1,6,10.5,TRUE
235,"chemiczna","sredni","dwie",8.88,18.4,0,29.6,FALSE
236,"spozywcza","sredni","jedna",6.59,11.1,1,26.2,FALSE
237,"chemiczna","sredni","dwie",8.91,13,3,19.4,FALSE
238,"metalowa","duzy","jedna",18.71,29.6,4,6.9,TRUE
239,"metalowa","sredni","trzy",11.31,15.5,1,24.7,TRUE
240,"chemiczna","sredni","dwie",12.81,18,5,0.6,FALSE
241,"chemiczna","maly","trzy",14.24,8.3,3,4.5,FALSE
242,"spozywcza","duzy","jedna",3.93,11.5,1,6,FALSE
243,"chemiczna","duzy","jedna",12.46,16,1,16.2,FALSE
244,"chemiczna","sredni","dwie",11.19,9,2,18.7,TRUE
245,"spozywcza","sredni","dwie",10.32,13.7,4,18.5,FALSE
246,"spozywcza","sredni","dwie",1.49,5.7,1,24.2,FALSE
247,"chemiczna","maly","dwie",6.83,8.9,3,13,FALSE
248,"metalowa","maly","dwie",10.76,14.7,1,13.3,TRUE
249,"metalowa","maly","jedna",11.8,16,3,11.8,TRUE
250,"metalowa","sredni","dwie",11.8,16.6,3,16.1,TRUE
251,"spozywcza","maly","dwie",6.63,18,5,16.4,FALSE
252,"metalowa","maly","dwie",13.92,14.7,3,6.4,FALSE
253,"metalowa","sredni","trzy",16.22,18.2,5,0,FALSE
254,"spozywcza","sredni","dwie",12.43,16.9,0,2.4,FALSE
255,"spozywcza","sredni","jedna",8.23,16.7,4,0,FALSE
256,"metalowa","sredni","jedna",7.48,8.3,3,5.9,TRUE
257,"spozywcza","duzy","jedna",1.91,9.8,6,0.9,FALSE
258,"chemiczna","maly","dwie",13.57,17.3,1,17.9,TRUE
259,"chemiczna","maly","dwie",8.04,8,5,0.8,FALSE
260,"spozywcza","maly","jedna",7.43,7.5,2,11.5,FALSE
261,"spozywcza","duzy","jedna",7.58,18.2,3,3.5,FALSE
262,"spozywcza","maly","jedna",8.43,16.7,3,2.8,FALSE
263,"chemiczna","sredni","trzy",9.26,11.5,4,6.9,FALSE
264,"metalowa","sredni","dwie",10.95,16.1,2,2.7,TRUE
265,"spozywcza","duzy","jedna",7.7,12.5,4,3.8,FALSE
266,"metalowa","sredni","dwie",9.49,11,4,29,TRUE
267,"spozywcza","maly","jedna",5.57,15.3,3,13.2,TRUE
268,"spozywcza","maly","trzy",6.54,9.7,2,8.8,FALSE
269,"spozywcza","maly","trzy",4.89,12,7,2.9,FALSE
270,"spozywcza","maly","dwie",7.62,15.5,1,21.4,FALSE
271,"spozywcza","duzy","trzy",9.84,19.2,3,14.1,FALSE
272,"spozywcza","sredni","dwie",7.41,10.2,4,7.9,FALSE
273,"metalowa","sredni","jedna",12.27,21.3,3,0.3,FALSE
274,"metalowa","sredni","dwie",11.71,24.1,6,3.1,FALSE
275,"spozywcza","sredni","trzy",7.84,13.7,4,18.8,FALSE
276,"spozywcza","sredni","trzy",3.37,7,5,8.3,FALSE
277,"chemiczna","maly","jedna",12.38,12.7,5,10.6,TRUE
278,"spozywcza","duzy","dwie",11.77,13.3,0,18.6,FALSE
279,"spozywcza","maly","trzy",11.17,17.3,3,16.5,FALSE
280,"metalowa","duzy","dwie",13.89,22.5,4,24.5,TRUE
281,"spozywcza","maly","jedna",6.57,12.5,6,9.7,FALSE
282,"chemiczna","maly","trzy",9.31,10.6,0,6.1,FALSE
283,"spozywcza","maly","trzy",9.02,11.8,1,18.6,FALSE
284,"spozywcza","maly","trzy",6.63,17.2,5,4.2,FALSE
285,"chemiczna","sredni","trzy",12.85,10.3,5,8.3,FALSE
286,"spozywcza","sredni","jedna",7.57,12.9,2,8.7,FALSE
287,"metalowa","duzy","trzy",13.33,14,0,28,TRUE
288,"metalowa","maly","trzy",12.48,19.5,1,15.8,TRUE
289,"chemiczna","sredni","trzy",11.57,16.8,6,9.6,FALSE
290,"chemiczna","duzy","dwie",11.62,14.3,0,14.5,FALSE
291,"metalowa","sredni","jedna",15.73,10.6,3,31.4,TRUE
292,"chemiczna","maly","jedna",4.11,12,4,8.5,FALSE
293,"spozywcza","sredni","dwie",5.18,6.8,3,15.3,TRUE
294,"chemiczna","maly","dwie",14.77,15.2,3,9.1,TRUE
295,"chemiczna","duzy","dwie",8.78,20.1,6,1.3,FALSE
296,"spozywcza","maly","trzy",13.53,23.8,3,12.1,FALSE
297,"spozywcza","maly","trzy",5.84,16.4,4,19.6,FALSE
298,"spozywcza","maly","trzy",12.18,16.5,2,26.3,FALSE
299,"metalowa","maly","trzy",10.55,12.4,4,8.2,TRUE
300,"spozywcza","sredni","dwie",4.32,13.1,2,14,TRUE
301,"spozywcza","sredni","jedna",7.25,16.3,4,18.9,FALSE
302,"spozywcza","maly","trzy",7.52,16.6,3,24,FALSE
303,"spozywcza","sredni","dwie",3.54,5.5,7,0.2,FALSE
304,"metalowa","maly","trzy",9.76,9.7,6,4.1,FALSE
305,"chemiczna","duzy","dwie",10.29,11.1,2,23.2,FALSE
306,"metalowa","sredni","trzy",9.83,16,2,16.8,FALSE
307,"spozywcza","duzy","dwie",10.35,9,1,8.8,FALSE
308,"metalowa","duzy","dwie",16.14,21.5,1,22.2,FALSE
309,"spozywcza","sredni","dwie",3.24,4.3,0,0,FALSE
310,"chemiczna","duzy","dwie",3.7,12.4,4,17,FALSE
311,"chemiczna","sredni","trzy",3.58,10.2,1,19.8,FALSE
312,"spozywcza","maly","dwie",9.6,14.6,3,15.9,FALSE
313,"metalowa","sredni","jedna",7.73,21,6,10.4,TRUE
314,"chemiczna","duzy","dwie",12.55,15.6,4,6.8,TRUE
315,"metalowa","sredni","trzy",12.63,16.1,1,15.2,TRUE
316,"chemiczna","maly","dwie",5.02,10.1,2,6.7,FALSE
317,"spozywcza","maly","dwie",4.3,14.2,0,7,FALSE
318,"spozywcza","maly","trzy",8.55,19.4,1,20.9,FALSE
319,"spozywcza","maly","dwie",13.55,12.5,6,0,FALSE
320,"spozywcza","maly","dwie",8.29,14.6,4,20.4,FALSE
